topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,105260128142702184724883109254247872124733550366453081878613377758284519628529,64,201,231525,999,116875
t4,40697661243599133095893072045875243408553085413466650982150084692052601250726,85,201,178352,504,170722
t4,40699665764026066526813077973837998206916244320930700510068656948031620884956,83,201,178930,3399,173119
t4,82098810032049784167515126837541338514756543273837386578549138381016938191190,77,201,180701,29999,154599
t4,12737632928118984446609506206439342415426826605236910521403493799584047485826,86,201,178801,3423,170352
t4,110031278916403342694496081932899996726763895905299292315436330990091377682794,83,201,183566,1999,163523
t4,53432601509812910195130532305733179919932501530809695088748737206668805978464,87,201,170840,6490,192010
t4,17024523642989742648679987152577214971860646055971395495746645313305063598721,26,201,21742,1199,96149
t4,44391241222718079199560474421280265935552713079634930287363238207686951205407,51,201,28357,3792,192673
t4,38905544958164382751246665070614594932960036524058726272165193414995265860728,94,201,163751,6999,163116
t4,98724438232803742462876595777989170087631488185845530224428746544397674425072,16,201,5648,199,57899
t4,67602673045799891037264151385868641653133860897526021227208696600352234052107,111,201,118920,10594,176805
t4,26653438913655397548372904467685869190196358428235049973076275719457744100871,78,201,176480,2415,162266
t4,51565638113973644273301532451888360202002530584295927780649321644622883192827,76,201,181686,1704,169192
t4,60694207997798513068470154062184748710528549228836085147121535128094563135808,15,201,6134,1199,1199
t4,102688125797096798473819352392949377533875566496417269558323569607673723035400,92,201,175075,19828,141346
t4,105728219797003197746946260282651868770170300726723870582183312500711925246006,98,201,148739,33953,195135
t4,99070874524538792735272462907941386445284597634509314366410040079936771668003,96,201,171119,17999,136829
t4,8138390442822969125726469980396091713770732568610242527042449348893657504490,45,201,44329,8201,199829
t4,37997434981500017002264900238962708706325324580190367701309039186703680551358,82,201,181984,11791,166238
t4,24352043099990544710412943754649985522718094979958092639873059303609451616508,80,201,195469,17002,167585
t4,95297023925959754595444178614027186460661576181052372019617725279996015807658,87,201,167401,6999,145364
t4,87602471527943548279384326857098306825108417491681505179071239994081416712493,80,201,177035,1599,137653
t4,69454882794686304336477246569722256442055936358610789951840996708026421437172,98,201,144025,5694,143834
t4,68115705385050971163753342551797632809432067530025959231879839048418674494159,110,201,124922,6749,178765
t4,83012880719860979680530988689169126468015418120709726007127753220909252985016,103,201,150205,1392,108455
t4,96365542584949570595917715533092298867902535394456155669071944106096595925780,85,201,92729,14904,189801
t4,4420583753133598610299448499857096489360315040165457676706075053186023538272,82,201,188419,21392,143146
t4,14156509516455497675010302782348502730598588144905531651427512257526190727032,15,201,1522,59312,213285
t4,42665578987445955900345332981025065894634509912888309782902656361646507481173,84,201,159563,6019,186807
t4,7223272908295141624865543129248156253972968165426837253700261292812854288049,82,201,180498,4304,155940
t4,12099222262789572312116080590714581704422525572392056769592814071714676961284,81,201,189518,1196,143491
t4,11102791643168726386128995694287706136334433914442173751431706701342512002845,46,201,147941,27542,158432
t4,90507885967836112528331384889415118392404251688298213991000093164263755145553,91,201,164610,936,146926
t4,70447567318146609579085140559631265651085480818011298260787345542809752765621,84,201,147602,32,171638
t4,98215013881177024992047145181541938794140382443630526893243115506461153875438,18,201,2811,110725,242272
t4,18560758504449276721941887139142592155875107680720581757123674681895220154115,73,201,198530,3053,139935
t4,46501760859259130565303717897356240494411214459159563302749861283696083552260,15,201,7134,0,0
