time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,110618,110618,80601,0,98820,98792,1530,80578,1530,179.062874251497,NaN
200000,0,0,0,110829,110829,16566,0,45214,45217,283,16584,283,62.028112449799195,NaN
300000,0,0,0,108687,108687,1904,0,28476,28501,487,1909,487,30.440881763527056,NaN
400000,0,0,0,108631,108631,4457556,0,76999,76999,9380,4456012,9370,4507.509940357852,NaN
500000,0,0,0,109478,109478,224952,0,18218,18218,7790,225540,7798,242.20119521912352,NaN
600000,0,0,0,107507,107503,8956,0,1871,1871,7724,8942,7722,10.892354124748492,NaN
700000,0,0,0,105298,105298,4433037,0,72489,72489,230,4430446,234,4541.860887096775,NaN
800000,0,0,0,105133,105133,237938,0,17430,17430,431,238519,431,256.39357429718876,NaN
900000,0,0,0,105098,105098,17282,0,2398,2398,318,17258,318,19.759036144578314,NaN
1000000,0,0,0,104547,104547,4413668,0,70087,70084,415,4411946,415,4470.343968095713,NaN
1100000,0,0,0,104814,104814,230834,0,17696,17696,261,231345,261,247.78664007976073,NaN
1200000,0,0,0,104516,104516,16275,0,2500,2500,351,16261,351,18.681592039800996,NaN
1300000,0,0,0,103769,103769,4393564,0,68031,68031,323,4391845,323,4439.398009950249,NaN
1400000,0,0,0,103961,103961,222933,0,18481,18481,262,223331,262,240.69192422731805,NaN
1500000,0,0,0,103132,103131,14055,0,2550,2550,211,14034,211,16.62162162162162,NaN
1600000,0,0,0,101715,101715,4294791,0,64924,64924,206,4292681,206,4381.62311557789,NaN
1700000,0,0,0,101163,101157,221466,0,18594,18592,328,221810,328,240.78234704112336,NaN
1800000,0,0,0,101660,101660,15806,0,2668,2668,317,15789,317,18.49249249249249,NaN
1900000,0,0,0,100769,100765,4215718,0,62516,62514,145,4214137,145,4304.058350100604,NaN
2000000,0,0,0,100355,100355,228270,0,19400,19400,279,228518,279,248.16633266533066,NaN
2100000,0,0,0,101005,101005,16507,0,3312,3312,318,16486,318,19.819,NaN
2200000,0,0,0,100660,100660,4171889,0,60881,60881,349,4170481,349,4215.906374501992,NaN
2300000,0,0,0,100600,100598,231262,0,19100,19096,333,231479,333,249.8622754491018,NaN
2400000,0,0,0,99347,99347,18176,0,3105,3105,152,18143,152,21.366465863453815,NaN
2500000,0,0,0,98843,98843,4011470,0,58721,58720,265,4009413,261,4078.3476953907816,NaN
2600000,0,0,0,97764,97764,225250,0,19699,19694,284,225612,281,245.43987975951904,NaN
2700000,0,0,0,96939,96938,18137,0,3938,3943,258,18116,265,22.163654618473895,NaN
2800000,0,0,0,96204,96204,3910351,0,56534,56532,206,3908321,206,3986.819095477387,NaN
2900000,0,0,0,95317,95317,201973,0,20087,20087,291,202367,291,223.62537764350452,NaN
3000000,0,0,0,95015,95014,22989,0,4331,4331,292,22968,292,27.512588116817724,NaN
3100000,0,0,0,93676,93676,3786865,0,53982,53981,189,3785058,189,3891.435663627153,NaN
3200000,0,0,0,93373,93371,206356,0,19879,19879,276,206757,276,228.75126390293227,NaN
3300000,0,0,0,93456,93455,25945,0,4458,4458,190,25918,190,30.803444782168185,NaN
3400000,0,0,0,91107,91107,3622431,0,52507,52505,83,3620253,83,3761.451381780962,NaN
3500000,0,0,0,90046,90046,200576,0,20981,20981,418,200981,418,225.3886063072228,NaN
