time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,46518,0,51313,0,28464,0,23515,0,8995,0
200000,54411,0,63408,0,33888,0,27728,0,10625,0
300000,55360,0,65535,0,34684,0,28328,0,10840,0
400000,55598,0,52895,0,37086,0,29788,0,17759,0
500000,56435,0,48825,0,36211,0,29321,0,17892,0
600000,56035,0,47456,0,35812,0,28982,0,17824,0
700000,53643,0,49104,0,35620,0,28767,0,17802,0
800000,53696,0,48133,0,35706,0,28763,0,17906,0
900000,53793,0,48062,0,35719,0,28792,0,17860,0
1000000,53564,0,47541,0,34517,0,28978,0,17426,0
1100000,53534,0,47524,0,34390,0,29049,0,17388,0
1200000,53670,0,47544,0,34400,0,29105,0,17424,0
1300000,52185,0,47703,0,34205,0,29048,0,17471,0
1400000,52512,0,47890,0,34340,0,29325,0,17565,0
1500000,52770,0,47992,0,34373,0,29342,0,17584,0
1600000,52439,0,47037,0,34114,0,28658,0,17694,0
1700000,52776,0,46921,0,34291,0,28678,0,17821,0
1800000,52780,0,47081,0,34388,0,28708,0,17868,0
1900000,51877,0,46885,0,34199,0,28322,0,17894,0
2000000,52286,0,47341,0,34468,0,28589,0,18138,0
2100000,52633,0,47362,0,34535,0,28698,0,18217,0
2200000,52020,0,46901,0,35152,0,28415,0,18201,0
2300000,52092,0,47023,0,35081,0,28666,0,18295,0
2400000,52104,0,47116,0,35140,0,28666,0,18304,0
2500000,51168,0,46585,0,35195,0,28903,0,18094,0
2600000,51081,0,47069,0,35795,0,28900,0,17977,0
2700000,51158,0,47295,0,35927,0,28945,0,18012,0
2800000,50812,0,47250,0,34898,0,28747,0,17608,0
2900000,51582,0,47510,0,34940,0,29125,0,17730,0
3000000,51922,0,47656,0,35028,0,29235,0,17814,0
3100000,51056,0,47311,0,34641,0,28993,0,18005,0
3200000,51228,0,47376,0,34691,0,29152,0,18206,0
3300000,51468,0,47408,0,34756,0,29334,0,18207,0
3400000,51475,0,47849,0,34918,0,28948,0,17682,0
3500000,52028,0,47795,0,35183,0,28934,0,17967,0
