topic,nodeId,count
t4,109060800287698069859186250990776436747704124202712747605033671500854727881503,3
t4,114635234209826268544376161428429031539408821572174765190865753690128148484266,1
t4,29643636165656742893874159739606734393717549982859576420889301542408238001890,1
t4,49663678052274278297723168442807688917927608287749446929080394953064658508055,1
t4,23565214741854612956258804745960079532322824407500635160868426375268240227497,1
t4,104347785521988947738652910532598282418129889007634775065178612027931283619603,1
t4,65721568991112396201488515164085824338350519447235361721209146943662512930756,0
t4,62140721094886207406670751347904673268719532694839203811391632097923624867888,2
t4,7569419173434507873659768459421722917783883936922882403167510282695498987711,2
t4,75190791180565450808440931940318135597798698996566399066066736508367658285297,4
t4,31293990357597117805726432194673155288383622756096144300750877940293119483829,1
t4,78699543921757074719387922783883100896693355827779529794633552878076313893740,46
t4,86507137701403472723855121368018709703974512159417251028002865493570628781600,11
t4,87537278752963996883190137002994285450716513338189256616943599229418661667450,1
t4,52828345933222497572370247954822383325840942794379527484499032998521162657590,0
t4,52211111086881087356456947140556126635364086931353257177972480262493427884125,1
t4,62958517019140533055758885668267902634363123599190821583869097101423217029337,9
t4,44766266229700699629569559101765370756102422168578878851443171057048961964555,1
t4,1429308547368735517830801646267653664013637324312460488478040389781624889225,1
t4,97797177152628273230639016779179470063298870584971406764150920094254041223905,1
t4,7896416660544837286034199157076979853517596050035293217129697401861842096588,1
t4,46636736142429974086461152950129847281941422648094134265754353864210037621049,1
t4,46814882132891514471846157062133839151062566842697929873079378322335149764781,0
t4,27924346408153852332735300490285264318126394962411545986051380067039053854020,0
t4,70996098164318359056607851045590621322222562838420416793730966662035126101742,1
t4,78906647932687004904415771888857806653153416842475494999223160054919182836054,47
t4,89028053590575749747590087962405999785157915560997925544965645467465608617805,4
t4,99457242461520265792017309955935720362471107123280525702032393860770135624364,4
t4,106190166537160613323663506551857802192711066090140684936337157756064716384976,3
t4,21202880469999889523403966233571057526490112245689328615560698931140797174963,0
t4,83021494825386156679235566901373338798638784042989519452204780802304063053526,13
t4,99302985741165778004807597728396001960204081396014015154048716789863877012121,1
t4,73236393521659422537664319912432924076939798826832759896010346315254796212709,48
t4,86930531486233685399415173764627623271578033590729165087679505793876767148426,1
t4,36731733305173932334593082281277169992879316818607269670249813534609414120376,1
t4,80664629386207280980193239661441052711017847047664161599599994241730767315326,12
t4,24778232718614276519238776789580017697096990635153135520183436987550055579045,1
t4,50715805242519512065809721827814991611918823915045358648919682996431505690888,0
t4,48787545334501838894328770932656931083418117900020135091963078179012926480361,0
t4,13246760177245368729394077801953129749927614772038537011180564486650653092452,0
t4,64266998872920773338973886987780744323936529496598114190510636537684925710426,6
t4,57182524165917620518929218657269659383076302460164917663461405612389818491963,1
t4,103516452985592883813572362312344159769899872140285550224996186218543378512838,5
t4,64479553317965427863484199612937220312026114303202805072609654705380248237196,8
t4,102003697923466132751334522649225087231947552069844075477036942975490856612496,4
t4,12170014231503787545128949410896242112630540919180751543607414535837824208820,0
t4,81197214334952461964811392239241570416509648561817762504837754277616819414981,1
t4,105768643703448973656610317036758901202850132147041231472990378958600556917913,5
t4,96281984605408056809076788222384684958908013890612559655262633258882481308126,1
t4,46942443532142104002018378878482939439578026271615671398219211014462993837370,1
t4,25743467999745388919516985516629691756881881526029467043940883153211131303623,2
t4,16860459482478596594475311095468845787379234592119354273586040460272363291536,1
t4,103294345478068272696652145029344555571777897939352096088274702358908417719200,2
t4,83016613974668232526366801036228240954878407287449214817660801998428942688732,1
t4,44959791736326010438319562658564079468512019589521330104678012621817311532018,1
t4,10600894041879048193501591223284316653786073536752748947813406606389583373787,1
t4,72406912581109271151059022537266285290711768173282908091621888774180772540968,18
t4,38436105335830964747567675721116081804137300715697825192007090510908188293003,1
t4,27035020408056570401831865850613382546109651413210981570035901230579504249807,1
t4,75522122066525435907091670029610278724306572933543584896084079727278871695947,34
t4,99328168752131002265158885877788063057962026220865842694639910401951430354158,5
t4,12302869099969289016796105855630783090837674165474453934370863918627954306487,2
t4,112822688184084443419231010278786401151442757973457430023727472289550078331798,1
