topic,nodeId,count
t4,93559867510982436410265100757520549419498778964645682113044357209508051811339,19
t4,114984041496019503744301562890050635357774232522691986025730525412133992828124,19
t4,62140721094886207406670751347904673268719532694839203811391632097923624867888,19
t4,57680190763960017383758172392293363513539340539120635916784773206816372201956,18
t4,103088791461583965744876201807409776069395946317028271937584328853438088457768,19
t4,34075001441953566092363875401491127861759167698914547043331635277988678201943,19
t4,22915380096991186576504214275423647789321250732398166481735038872562162586426,18
t4,26243741950073447238080248047377048707514139462238896701705938881477647512921,16
t4,9505291896420368427245382507599279231402607468612227324463807189726008087698,18
t4,62958517019140533055758885668267902634363123599190821583869097101423217029337,18
t4,44766266229700699629569559101765370756102422168578878851443171057048961964555,19
t4,10793458855907825689719381358204170482416860896377821586215323623948329892542,18
t4,115498179669229020895712941163758118161025144679686738046386102050783841570637,18
t4,70996098164318359056607851045590621322222562838420416793730966662035126101742,18
t4,80374614586025934414192394357300620050071837375477485114392185336397464400764,18
t4,106190166537160613323663506551857802192711066090140684936337157756064716384976,20
t4,8282924099209876250997246087088302641962582373093868525515032699761284536960,18
t4,166221127073636692390366721365545131462257067430082701805638339488405879033,13
t4,92908954961582189808133210760065653984416345697429740383778479723083005826616,17
t4,99302985741165778004807597728396001960204081396014015154048716789863877012121,18
t4,73236393521659422537664319912432924076939798826832759896010346315254796212709,18
t4,55840341163912920136933261722475942232547697913410012608849760827704877352667,16
t4,90853126745295371073842811955412594473107170387458780476069245424992023064453,18
t4,6568004554414756940152586151583395822728341532723496261736012780489260180007,20
t4,99308485037174200525540960208737219447558973269131216348624686280333541813662,18
t4,64266998872920773338973886987780744323936529496598114190510636537684925710426,18
t4,96925219459290275818993980969006138228723210771523224490009996026156723071624,17
t4,25983495563105017886846355159538309654683720651482024036642193674214273303201,17
t4,22336062154317307673645820737701580204211564373832623789273919783300246958611,19
t4,20725776179138660352463617752312053082336523200036480134844113581175583802175,18
t4,38949923752583142398616238407828859571376465184668865875349811856000013613188,19
t4,84813851080234238235129759457817529808727104670641323254534963296611525718445,20
t4,102003697923466132751334522649225087231947552069844075477036942975490856612496,18
t4,22683305642320083810636843983861218952868967936210626922140076778964250986980,18
t4,11090037166215636098369763467107071759384633360856058148542927256454464557019,17
t4,48101449199826452737507712627650925989860409824986705371760658771793210179643,15
t4,98323212828001070646692338503619226330865728839612409577470420652614911714927,17
t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,17
t4,100044907294852963761016732798409917260061828167691638308680291801823833267780,18
t4,103747250995549031538443609975267240830486594679081701552176830407807417524431,18
t4,84974027871800750891086252983471965233376205203719987380126870194253690487159,21
t4,88259054287778522106468562592548919698783445786854765300564290297397515061546,21
t4,46248960230546638699402452498098815649047754060910586430976752203806433586512,19
t4,87630233031169273405144881432486963902798200051911826006909871014189420613913,18
t4,66093752243364824665189179103966479752044657433743592121692889341716581592500,18
t4,5959687431411907817583717043227719161473244591201990055504625977652692133315,18
t4,68130714194816210594805702192922145373009827156240354103545304477484455344147,18
t4,45627195197758541834452046178555818536127676765946035942666192247536462919269,18
t4,96842172425671586415722514165421665685020136683681289751904075527966742139729,17
t4,47571596520103783831103231667086836637360838270397838182386627139996109784356,19
t4,16007610771210654039744960480057932651682384140459041155659128554483985169358,17
t4,50886609427811792480490171392590586662144293513031498124520769173570898058593,18
t4,51889599231899356208690377011114902143088583515988416025197017894767750292067,18
t4,23909476239634556075568653585918881289719852157865491868544536654108130601999,17
t4,50804120949678687029995900189876604475092084801934760791490876392493510024173,19
t4,17129198376331153749994955882844379096976723988606483233121176157688386599383,19
t4,37620165125361356295894593909775557080915876895813360508877120423193538990844,19
t4,16283566434558549046609300661082823083781956524122873397266249068599731806782,18
t4,52596243565954964006611191479279121994686636337856295893311457160970261639475,18
t4,31771867882960813378568511476059274400339755043926925752891043751084635744576,17
t4,88593563448365185044517352057237174668808513431053047099050472200829103706242,17
t4,52059778306966170035694492237790876224050752579060688588786076695995242221979,17
t4,41659523273397410808637442021370065253587574343640887968971620712739897244821,15
t4,56224863423765626770390477554084366966960886797690115627486785764489892192342,17
t4,9515919896598923589978291911048204075099084019294405132214734679846788382417,18
t4,28480988415471074998638343954134201427345991109424763567463299907956983924410,16
t4,71130203562392037392669483242939449036757101304321342216445507981170510739147,17
t4,21440976021001950794220643446353344800536849854573041905386950965529513658504,18
t4,88080120789208192325412551478499473561512377783921861663743661528076506078753,17
t4,57253716776762672340032145936810767251670536454791959481812079721453124256613,17
t4,58318658935283416509085495623215901178167584276642641206435713693843118656857,18
t4,82001440456854037857349320739614959271019500684728063827144325514603228062937,18
t4,12703116955347579483191360047994689437032357094366640459241286701478606360531,18
t4,67471034137127035030702615412309347321556270242855243217926508997656818469324,19
t4,44700275797331695250052251483754911282038121000166856020655633676349798557323,19
t4,11425513987565116950144336948041173799072873207970526762439624660674882498487,18
t4,10902000626438892467650695129102406328754844874762739558753240847595264239338,18
t4,84191138661639165751830900073192672420329486342577452451628453905923283333562,18
t4,9229584188005204911734750262869611965276990103958779407638580007236064741848,18
t4,67397762027753407743287920162887440603113411489098379852533262784253786065056,18
t4,27641820631779646576520216720474162491461584150563628684196421595026587844697,18
t4,61858098968903936828754462374352918212360780243759987994682041456266125914999,17
t4,33501540034928795536826426207224563074932400568466010406841880679376392693899,19
t4,54466079812409946124062938494465725076405908254130563382842101597362570794872,12
t4,47392168311089689657119985602897091113173378853236664079477297176964765844809,20
t4,90032724003597571817258930336967463694376686182492425307271616962908299592050,17
t4,76201929865605125318095947854568435546523914686008717977914358053520194475147,20
t4,85387110846377177624803455791103412489852326012920834748527794571976175872702,18
t4,22048816498814635929578882771209637499943076261613249936768679231351998451634,17
t4,37297091814491687005831859818964681996735658757524974169109282608769834998406,17
t4,95924859143169064744915891794860864687660726135117319830898363298553437176647,19
t4,99343435438342463674863829023533150841246139153627336448003396353530080472934,17
t4,82434303521066303674100967402604468172257857150494684101684521078815043835150,18
t4,42615852417419700324590159860203709674805900952788169520664070229865109975778,18
t4,16924743078089880187512496666696680138526184760070322158858124220246812859327,18
t4,78325466599236427782610216562461830872496390405861588206313067307888011319555,20
t4,15199443065053175237789367749729717924370153034035802525755423644487998284222,17
t4,67591432360106479468892498382713925491515131292302364548227229619614710430473,18
t4,64043864019822405496211581716518997972784459660032874787606095930954117668941,18
t4,98734693232815979926005325758451242868071283969780292370676096319477072525726,18
t4,73035474089810140041374136771438099292530129230505357380432577263875695224185,19
t4,77696149337200752460382416075170074154784311747254550191323296954323081640718,20
t4,45857859669039613819347058602860325254853161393617218852266635651224595016702,18
t4,102673083757101807698798450030918740588670972858272766754059390093004649311515,19
t4,53397703819384832489167214243984839807693935210817394016050058677535862998518,17
t4,15354753701816766004707042758411862233317581130226425822214945280351571954994,18
t4,86440148906773053470144977991167733242240735711709608336546314539265338002333,18
t4,84667820481128545489315866014928198417674843461857165207579668378086834818046,18
t5,50886609427811792480490171392590586662144293513031498124520769173570898058593,19
t5,23909476239634556075568653585918881289719852157865491868544536654108130601999,19
t5,17129198376331153749994955882844379096976723988606483233121176157688386599383,21
t5,37620165125361356295894593909775557080915876895813360508877120423193538990844,22
t5,93559867510982436410265100757520549419498778964645682113044357209508051811339,21
t5,88593563448365185044517352057237174668808513431053047099050472200829103706242,19
t5,56224863423765626770390477554084366966960886797690115627486785764489892192342,19
t5,9515919896598923589978291911048204075099084019294405132214734679846788382417,20
t5,22915380096991186576504214275423647789321250732398166481735038872562162586426,20
t5,62958517019140533055758885668267902634363123599190821583869097101423217029337,19
t5,10793458855907825689719381358204170482416860896377821586215323623948329892542,20
t5,115498179669229020895712941163758118161025144679686738046386102050783841570637,21
t5,88080120789208192325412551478499473561512377783921861663743661528076506078753,20
t5,57253716776762672340032145936810767251670536454791959481812079721453124256613,19
t5,58318658935283416509085495623215901178167584276642641206435713693843118656857,19
t5,70996098164318359056607851045590621322222562838420416793730966662035126101742,21
t5,67471034137127035030702615412309347321556270242855243217926508997656818469324,18
t5,10902000626438892467650695129102406328754844874762739558753240847595264239338,19
t5,9229584188005204911734750262869611965276990103958779407638580007236064741848,20
t5,106190166537160613323663506551857802192711066090140684936337157756064716384976,21
t5,8282924099209876250997246087088302641962582373093868525515032699761284536960,19
t5,166221127073636692390366721365545131462257067430082701805638339488405879033,12
t5,92908954961582189808133210760065653984416345697429740383778479723083005826616,20
t5,99302985741165778004807597728396001960204081396014015154048716789863877012121,20
t5,33501540034928795536826426207224563074932400568466010406841880679376392693899,19
t5,47392168311089689657119985602897091113173378853236664079477297176964765844809,22
t5,96925219459290275818993980969006138228723210771523224490009996026156723071624,17
t5,90032724003597571817258930336967463694376686182492425307271616962908299592050,19
t5,20725776179138660352463617752312053082336523200036480134844113581175583802175,19
t5,85387110846377177624803455791103412489852326012920834748527794571976175872702,19
t5,102003697923466132751334522649225087231947552069844075477036942975490856612496,18
t5,95924859143169064744915891794860864687660726135117319830898363298553437176647,19
t5,11090037166215636098369763467107071759384633360856058148542927256454464557019,19
t5,16924743078089880187512496666696680138526184760070322158858124220246812859327,20
t5,1063746180812293138887147089075963624870327760613376677517257382747015181242,19
t5,98323212828001070646692338503619226330865728839612409577470420652614911714927,20
t5,78325466599236427782610216562461830872496390405861588206313067307888011319555,21
t5,100044907294852963761016732798409917260061828167691638308680291801823833267780,19
t5,88259054287778522106468562592548919698783445786854765300564290297397515061546,22
t5,46248960230546638699402452498098815649047754060910586430976752203806433586512,22
t5,87630233031169273405144881432486963902798200051911826006909871014189420613913,21
t5,66093752243364824665189179103966479752044657433743592121692889341716581592500,19
t5,5959687431411907817583717043227719161473244591201990055504625977652692133315,20
t5,102673083757101807698798450030918740588670972858272766754059390093004649311515,19
t5,86440148906773053470144977991167733242240735711709608336546314539265338002333,20
t5,15354753701816766004707042758411862233317581130226425822214945280351571954994,20
t5,45627195197758541834452046178555818536127676765946035942666192247536462919269,19
t1,109060800287698069859186250990776436747704124202712747605033671500854727881503,14
t1,52187204502681109177693856747538495270433602709192897757899483906466369507367,13
t1,114635234209826268544376161428429031539408821572174765190865753690128148484266,12
t1,39622000092329845474185802054608574338890662284683802797893688888306836411941,11
t1,29643636165656742893874159739606734393717549982859576420889301542408238001890,11
t1,49663678052274278297723168442807688917927608287749446929080394953064658508055,12
t1,104347785521988947738652910532598282418129889007634775065178612027931283619603,11
t1,91922074331293761607228489563514476699994858016752293279336069967679071067741,11
t1,62140721094886207406670751347904673268719532694839203811391632097923624867888,13
t1,7569419173434507873659768459421722917783883936922882403167510282695498987711,12
t1,7499502891275746171325449406746152995909705964955759178861889315809927464829,12
t1,53595314534504596169466503491664139542097272485677522730949828152750841503221,13
t1,78699543921757074719387922783883100896693355827779529794633552878076313893740,12
t1,52828345933222497572370247954822383325840942794379527484499032998521162657590,14
t1,62958517019140533055758885668267902634363123599190821583869097101423217029337,10
t1,44766266229700699629569559101765370756102422168578878851443171057048961964555,13
t1,1429308547368735517830801646267653664013637324312460488478040389781624889225,13
t1,32903705836095027979878249524887296369282637944634190267402794672971570945937,12
t1,7896416660544837286034199157076979853517596050035293217129697401861842096588,13
t1,46636736142429974086461152950129847281941422648094134265754353864210037621049,13
t1,90216269847008854074911609817078493855906235650086851091034982399637651884271,10
t1,70996098164318359056607851045590621322222562838420416793730966662035126101742,11
t1,61106130517612060811918076961867984777092049123987937656025425204611812961833,13
t1,78906647932687004904415771888857806653153416842475494999223160054919182836054,13
t1,106190166537160613323663506551857802192711066090140684936337157756064716384976,13
t1,99457242461520265792017309955935720362471107123280525702032393860770135624364,12
t1,21202880469999889523403966233571057526490112245689328615560698931140797174963,13
t1,102575495855330712976512245029632885819541748423809311018514391913075023888205,12
t1,83021494825386156679235566901373338798638784042989519452204780802304063053526,12
t1,99302985741165778004807597728396001960204081396014015154048716789863877012121,14
t1,32974260438803602151864735018648939608505940533267277605723346160354104445198,12
t1,73236393521659422537664319912432924076939798826832759896010346315254796212709,12
t1,76163110419647611797468072969971286920201784260873673348173811994461596489270,10
t1,24778232718614276519238776789580017697096990635153135520183436987550055579045,13
t1,55840341163912920136933261722475942232547697913410012608849760827704877352667,12
t1,90853126745295371073842811955412594473107170387458780476069245424992023064453,12
t1,64266998872920773338973886987780744323936529496598114190510636537684925710426,11
t1,99308485037174200525540960208737219447558973269131216348624686280333541813662,10
t1,57182524165917620518929218657269659383076302460164917663461405612389818491963,13
t1,25983495563105017886846355159538309654683720651482024036642193674214273303201,9
t1,103516452985592883813572362312344159769899872140285550224996186218543378512838,11
t1,7539196496013599264034603755651018880761293440309907333219014662164482615534,11
t1,96962764465798665061899166045711351697309973931509804576825797888318714336175,12
t1,64479553317965427863484199612937220312026114303202805072609654705380248237196,11
t1,110058348454674979018221443281049432818101281784351691934626781875642946010554,12
t1,12170014231503787545128949410896242112630540919180751543607414535837824208820,12
t1,102003697923466132751334522649225087231947552069844075477036942975490856612496,12
t1,25743467999745388919516985516629691756881881526029467043940883153211131303623,13
t1,46942443532142104002018378878482939439578026271615671398219211014462993837370,13
t1,103294345478068272696652145029344555571777897939352096088274702358908417719200,12
t1,44959791736326010438319562658564079468512019589521330104678012621817311532018,13
t1,10600894041879048193501591223284316653786073536752748947813406606389583373787,13
t1,38436105335830964747567675721116081804137300715697825192007090510908188293003,13
t1,62378959377176047523667445945106292845780203304021172996274530924569724931339,12
t1,27035020408056570401831865850613382546109651413210981570035901230579504249807,13
t1,51594037762175663550897161259111413056357533872184242178635569386435822703854,12
t1,75522122066525435907091670029610278724306572933543584896084079727278871695947,12
t1,12302869099969289016796105855630783090837674165474453934370863918627954306487,14
t1,99859582947259722429694352374596912019622007334761943350523936144603965600379,11
t1,112822688184084443419231010278786401151442757973457430023727472289550078331798,12
t1,71865359712392587581895567584667885968729775185713419775604261902416248739836,11
