host,topic,registrant,timestamp
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,92908954961582189808133210760065653984416345697429740383778479723083005826616,2515501
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,44959791736326010438319562658564079468512019589521330104678012621817311532018,2627301
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,96962764465798665061899166045711351697309973931509804576825797888318714336175,2662501
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,10793458855907825689719381358204170482416860896377821586215323623948329892542,2616501
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,44959791736326010438319562658564079468512019589521330104678012621817311532018,2640301
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,106458810849253586582571650453994038399529029184177250725643552352099144116025,2743301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,33426859154016860808320654895525987649548176369625954665001558867419658062589,2520501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,94730441989408037717257208263028226485306857467848071931275621026138270215869,2520501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,4807564729499496672676184436468116694093794058451590027685728201346430021549,2570501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,15486092084295108198706030866375140865196188149729499117603648867030633819661,2610501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,93948148166795940055351737426923117748565877614949104812824466317903908494566,2610501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,44959791736326010438319562658564079468512019589521330104678012621817311532018,2634301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,14691811942315438863728556600013792654275482970996556434816153658191339990690,2720301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,33811313621908322151968028604922774263597700290526667578722785101515550714220,2770501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,40340895216168602610398117741569583195376071113168945680693625678234849177156,2780301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,34075001441953566092363875401491127861759167698914547043331635277988678201943,2500501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,79625108176405800400945213854744923322745801691311217741801529706728708208450,2509301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,23432830464149771664065986415230801928039885499467267280352837456348130694916,2513301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,14691811942315438863728556600013792654275482970996556434816153658191339990690,2519301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,24945161646150758624644499282763557549045211407595167519787873688153389796638,2525301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,33811313621908322151968028604922774263597700290526667578722785101515550714220,2560501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,32903705836095027979878249524887296369282637944634190267402794672971570945937,2567301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,113639145970703650365361148224815543405451449381813480910069209612383130305425,2570301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,106458810849253586582571650453994038399529029184177250725643552352099144116025,2574301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,85981326421514478814942692913675150970435526255136026173057865336317113384167,2589501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,88459118067436379298271137100515455803880081982573996710952218531445464036948,2596301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,34910908717947187676150744817104408271764193375983450593861496943055095565264,2598501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,44938888444401900461069244975152055958862397400815115878376895180339847133789,2605501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,56326338671884137211620696372189334877393459201276231334775780977685401961186,2607501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,51904454544142738542279755725561544578820078070531290652177181674018635631156,2608301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,93948148166795940055351737426923117748565877614949104812824466317903908494566,2610501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,32366587520626404100446968443623868887723855593546868691607770724901366421148,2610501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,100851860025323765232249948972581876713281662721335797421377783339876353593379,2610701
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,44959791736326010438319562658564079468512019589521330104678012621817311532018,2618301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,9505291896420368427245382507599279231402607468612227324463807189726008087698,2618301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,15486092084295108198706030866375140865196188149729499117603648867030633819661,2620501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,67518019977611313066121044586936995361371157307452981514113177601489084605093,2620701
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,52059778306966170035694492237790876224050752579060688588786076695995242221979,2625301
