time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,3387,0,3564,0,1580,0,1052,0,526,0
200000,5702,0,5661,0,2673,0,1807,0,1025,0
300000,7339,0,7710,0,3630,0,2425,0,1429,0
400000,7310,0,7619,0,3609,0,2406,0,1431,0
500000,7326,0,7676,0,3610,0,2408,0,1400,0
600000,7374,0,7684,0,3615,0,2411,0,1416,0
700000,7436,0,7720,0,3640,0,2409,0,1398,0
800000,7426,0,7760,0,3638,0,2367,0,1402,0
900000,7383,0,7657,0,3648,0,2382,0,1419,0
1000000,7451,0,7787,0,3673,0,2392,0,1380,0
1100000,7503,0,7815,0,3717,0,2444,0,1382,0
1200000,7514,0,7853,0,3758,0,2443,0,1390,0
1300000,7533,0,7847,0,3742,0,2509,0,1393,0
1400000,7552,0,7874,0,3767,0,2536,0,1398,0
1500000,7582,0,7840,0,3751,0,2552,0,1386,0
1600000,7616,0,7888,0,3767,0,2526,0,1383,0
1700000,7608,0,7913,0,3758,0,2515,0,1368,0
1800000,7659,0,7938,0,3763,0,2534,0,1375,0
1900000,7708,0,7997,0,3800,0,2505,0,1389,0
2000000,7733,0,8060,0,3808,0,2521,0,1392,0
2100000,7794,0,8101,0,3837,0,2512,0,1383,0
2200000,7806,0,8072,0,3821,0,2548,0,1385,0
2300000,7815,0,8141,0,3822,0,2554,0,1381,0
2400000,7840,0,8143,0,3812,0,2569,0,1395,0
2500000,7905,0,8087,0,3825,0,2585,0,1418,0
2600000,7910,0,8098,0,3841,0,2577,0,1442,0
2700000,7945,0,8178,0,3839,0,2601,0,1451,0
2800000,8008,0,8183,0,3844,0,2611,0,1472,0
2900000,8061,0,8168,0,3845,0,2629,0,1463,0
3000000,8089,0,8200,0,3866,0,2601,0,1472,0
3100000,8027,0,8206,0,3880,0,2623,0,1454,0
3200000,8054,0,8199,0,3892,0,2655,0,1457,0
3300000,8105,0,8293,0,3899,0,2673,0,1435,0
3400000,8107,0,8336,0,3890,0,2644,0,1471,0
3500000,8108,0,8389,0,3903,0,2644,0,1467,0
