topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,103459747284400649564747195675445398811280273797807570385899644317156029248547,51,201,65243,1994,146840
t4,108954541810061236842899018907390727604011728446935310396067588125827929834117,204,201,120481,2951,182902
t4,39622000092329845474185802054608574338890662284683802797893688888306836411941,68,201,48770,108,131296
t4,53853006894512943802329742540619225854375357546181532451929936525545391252494,259,201,106738,4575,142003
t4,83217767896994315850077976545865876324278397869641348395381615090288107501843,222,201,29397,17011,222321
t4,92082996328381275390046542930492339887330740130129914324279164827174097229427,246,201,112898,20334,146076
t4,110275888916943433220978805655281127901802231510832843287416616124355876459512,243,201,110460,4190,165852
t4,75734258102013589458976444181255701789192717292729596224576973785980987730125,278,201,98963,3498,192400
t4,42170282945263198720683444826467514404411866346534702109106989351377353738615,263,201,99047,250,172248
t4,8086149262454596152449849464334634712667598882277954412842989337159326295493,318,201,87445,12236,172590
t4,56504465893988435707068642403809188735530634504317626846107784882781467617813,243,201,107971,10984,150301
t4,96658492887461959256561607277296817750269799314269961726157081909685774054222,262,201,109613,26854,162448
t4,104347785521988947738652910532598282418129889007634775065178612027931283619603,271,201,104677,8046,184820
t4,72132804012455741184045897555772143075278753916633612769945096387766189148919,109,201,70870,27767,205675
t4,7499502891275746171325449406746152995909705964955759178861889315809927464829,295,201,94997,1495,205960
t4,45736862078394777421556594195600333862629701572677443438048221931968210537447,278,201,92930,4396,134761
t4,29736462824751695499433309844054655146191399903318574168580410304931828314791,255,201,106649,9399,156062
t4,65080354808146088331134789393288162875968675737902136270710030999908932538207,256,201,113063,15390,154530
t4,98898970876692833931390157760813374984165467707085374557565228360886508105524,253,201,98798,5537,165458
t4,54505195889720213395706661726356150367949916483089656372295954657441617600767,238,201,102606,1698,164796
t4,5284689978273943575567177032565260873661409002314906415365218196220031342837,110,201,83946,8081,126426
t4,42472684187734369564410878942482944016179870806761817070013622901130789507541,263,201,107462,5494,151027
t4,69415059154452363360324364032678386404845426564463161090563836862439588406439,330,201,84940,6517,203506
t4,56732046106553148523070577159307460559783844070208538273748444302739451610939,143,201,54344,112799,120094
t4,19335331088914406351073458067587641327473634582478212936401273150687745602454,299,201,94887,29412,182800
t4,86543790824625581993645498280150130568916133790383129512509798738775469079292,46,201,16908,44588,44588
t4,77197269434715740427132588100361593412793431762134381497196872584474155856632,302,201,100387,5388,186688
t4,7896416660544837286034199157076979853517596050035293217129697401861842096588,287,201,107486,1555,137916
t4,71831580389020713866267525151059973258481611772692446768276314426259477348882,39,201,60529,17115,189641
t4,70996098164318359056607851045590621322222562838420416793730966662035126101742,256,201,108237,1290,134727
t4,11564611907668941186615080223484826589386696791016553564650990236479683945966,33,201,6475,799,5661
t4,94980246441892643753631360389381250448192365954752990289650719545063853750276,212,201,113111,14988,161483
t4,28696287030961140252830235978223423947457699590535990463221245957067048094641,21,201,5994,0,0
t4,99457242461520265792017309955935720362471107123280525702032393860770135624364,239,201,117300,3787,139689
t4,25905335649378752960109034416625685503114829549346204579808045545498685494959,218,201,119794,11636,136952
t4,86098921226635103977200635203935585352256080290685095251089825395356652003773,280,201,95853,197,132355
t4,8282924099209876250997246087088302641962582373093868525515032699761284536960,321,201,92739,6799,185193
t4,83534783237201809293967887586071072155746742213064298657222146166423090239538,211,201,120132,9893,132424
t4,102108842985913167581892235251264199034245307870819574069622265095095367881179,136,201,121798,2995,136835
t4,92908954961582189808133210760065653984416345697429740383778479723083005826616,245,201,103342,7557,179887
t4,99302985741165778004807597728396001960204081396014015154048716789863877012121,245,201,110029,5999,143774
t4,73236393521659422537664319912432924076939798826832759896010346315254796212709,147,201,111177,15796,114903
t4,37627585313123730563762903548642485073536559300515926136391100153708092818561,43,201,14741,799,33693
t4,49564538641286077605858431792947926170743254372010838860053203398294888577939,122,201,86889,6934,160472
t4,3210965440531246201861004800407675648738105925457274631155984891082246183461,252,201,103698,7836,135303
t4,80664629386207280980193239661441052711017847047664161599599994241730767315326,259,201,119961,15189,153516
t4,64266998872920773338973886987780744323936529496598114190510636537684925710426,286,201,105269,5918,158393
t4,20725776179138660352463617752312053082336523200036480134844113581175583802175,295,201,100763,16691,158868
t4,107805455139657337519993047167075561008284414569976738631715642926237274877207,280,201,89415,4784,146917
t4,34832629835475007088409699856087704950998053162458562610286032457833345001045,100,201,56387,3399,51660
t4,15058296514925571509036957590477731660818782817529447144717267894566402197874,246,201,107034,4190,155718
t4,51127369421282382209967845371468393896300801153849780388005180570823574415070,329,201,84352,17115,205443
t4,96962764465798665061899166045711351697309973931509804576825797888318714336175,231,201,115102,20183,141738
t4,99175075295171601246371005844852032453818957037808235755507011916173797583306,268,201,107333,3596,159137
t4,36476949538488641570216000535362221032807805588960054828516348873187087973302,270,201,111443,5789,154772
t4,476982528653962679256258194063829299744212859847713661885292000077972319444,267,201,107928,999,167692
t4,91218178375591398818765284299736248100138259966873360726196730222831571279790,157,201,120328,7395,204036
t4,5161845433116021929939244310978199245838618703333236369921495381423011146764,170,201,111920,9390,125819
t4,13582863553595176498664364409008573750623397492883201211457767372888233766999,245,201,106424,4039,148264
t4,4483397735534683574098532588642546581481072920930562045415574638175068493576,239,201,108804,24388,157263
t4,22683305642320083810636843983861218952868967936210626922140076778964250986980,237,201,120065,27150,170046
t4,27035020408056570401831865850613382546109651413210981570035901230579504249807,302,201,86797,5191,208305
t4,114205207634057713523072710795434977009913731181000868480029634960410169403426,263,201,100596,4999,132788
t4,16966373779851881107857959178149887771912243987671291530462733419616041044564,339,201,87434,1599,157527
t4,88936267414938928900509436734632518370626112928406536268613130618791308168985,270,201,110281,1515,164516
t4,24945161646150758624644499282763557549045211407595167519787873688153389796638,316,201,94101,1356,213338
t4,33092150823892864459156975217626245945986287129166581551964169490876814049630,379,201,74081,199,72629
t4,100044907294852963761016732798409917260061828167691638308680291801823833267780,198,201,201,199,92681
t4,90220370061280350764155001940697305945604366747602031626693461176837017026779,231,201,107673,22394,186937
t4,71865359712392587581895567584667885968729775185713419775604261902416248739836,287,201,100434,6518,163202
t4,83394485371951409281166948360676344150030643668301701581911816783899733966365,281,201,93288,598,134319
t4,87630233031169273405144881432486963902798200051911826006909871014189420613913,297,201,101853,4190,168410
t4,113486112087208424566701726967801288617847361148398756479657565102059282379676,297,201,92123,1934,174116
t4,66093752243364824665189179103966479752044657433743592121692889341716581592500,261,201,110004,10713,159264
t4,20819247780101298970583515972403989246158538646961702380250123219462907997088,235,201,95735,3598,178939
t4,15406284148667196698812381477198732352337471511637200298324123872476777597424,257,201,113963,3391,153738
t4,84744896844746653418245855566764934461666053949741505539499896118524839215479,267,201,113861,4396,141942
t4,45627195197758541834452046178555818536127676765946035942666192247536462919269,353,201,87828,3095,187631
t4,2562590415379054810731496224146976603007055736122568324044843801533053131681,306,201,92482,4095,179193
t4,91674527203247953139788609277579854527663936376813232507089900033678910373323,250,201,114247,1513,151176
t4,9472213772132440937844135324036827610193953304484540759892360933911352772047,264,201,110818,4992,175983
t4,35674895937936048040649952107387890934054652557130244380111086306359699634900,260,201,107711,599,148560
t4,25869600032046960139740305643219554338179367845383385386680337170490245990788,133,201,96993,799,93019
t4,96842172425671586415722514165421665685020136683681289751904075527966742139729,296,201,96435,4999,179325
t4,31504950991524824173357104176590891827225562713401416697613452126705203202642,241,201,103938,4787,139056
t4,14431017364011656145481246190171161914793115680542838540410915234419493129105,272,201,96596,3591,189928
t4,108497334988587319018814616473937156991637579880071924686892224692755788684397,273,201,108382,2588,184945
t4,23909476239634556075568653585918881289719852157865491868544536654108130601999,297,201,98623,1589,130623
t4,102442364269045690896563229502238529350654362101591350691104269964521753305551,245,201,112946,5199,141032
t4,24502852106015443566888269612950648558415889505555912367784856709834687325089,114,201,39131,799,143678
t4,15566104313313291328479174575831647303174379496866903766954853468699348444823,67,201,49420,260389,260389
t4,44394519945826611384240378692498620706769429469381432050343765571234439493915,149,201,113803,5388,194631
t4,88459118067436379298271137100515455803880081982573996710952218531445464036948,322,201,96918,1495,199714
t4,82092587984189746675643231089674096744810122470020597310366973414056776102835,279,201,108641,1999,136011
t4,57135008648151042579753087298164972088868412377853685233696673946634816841207,306,201,91852,5198,159761
t4,89270231262998277780514063468280568378073847781894181390381450119798683313976,288,201,99410,6792,205527
t4,89168238776278269667304361646666147862464532979291679402968488964630587139118,296,201,97663,5584,174472
t4,101209000890594620796099767548510685732645785233620215458995916642982938818544,39,201,23839,7383,138460
t4,54856918833554489846441288576668066264351598651711011891667022715737211256799,235,201,115431,9396,177950
t4,20770106121378374893270916336995662501760536957879029907568683216406612169150,208,201,106526,6166,127992
t4,29619913271364746541969626664592055637794729848192704962870392774503296059000,308,201,96365,512,186927
t4,75204444250253888542671134901649855890482366016182648167382328162078348771443,334,201,87623,590,197987
t4,107920621803773107423016112702250810205266907418919957462948917206925605768833,271,201,105469,600,150012
t4,8799814200173101957707272338109608268984774857418537748625794411061079591373,281,201,103543,1495,154964
t4,60687437661628961533425100236061287125410724400301786412327546813496522039277,183,201,106907,3424,122701
t4,74259679001323346645362119430886455714826116645686567712770163406083393689740,317,201,98755,3399,187758
t4,27883381692669943178937928485151152775581709695415998630096153263288911920873,51,201,19569,199,110999
t4,64445812388427272090822705346534192149625693768030572044116853470845069837698,66,201,73919,47069,152340
t4,21440976021001950794220643446353344800536849854573041905386950965529513658504,283,201,103950,15389,142687
t4,33426859154016860808320654895525987649548176369625954665001558867419658062589,317,201,91005,1596,197402
t4,28250609287359069780009857337423729097716500519211895257744606539915959974487,247,201,97133,3631,161745
t4,14691811942315438863728556600013792654275482970996556434816153658191339990690,300,201,104099,394,158598
t4,82001440456854037857349320739614959271019500684728063827144325514603228062937,293,201,100012,7596,162355
t4,33027381349449195522834368249461431077543303487926217880171869218730195485748,273,201,104874,1919,148284
t4,10902000626438892467650695129102406328754844874762739558753240847595264239338,288,201,99554,15796,158519
t4,9229584188005204911734750262869611965276990103958779407638580007236064741848,173,201,94302,6215,140356
t4,102122652190755998333526590246593685567283125104721285271196810050233615822081,240,201,53918,13196,211461
