time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,2614.5287057564406,2667.71776770454,2873.439781021898,1725.7322501669264,2769.4038834951457,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
200000,3933.908788598575,4568.721136304404,5692.708136792453,6780.062034739454,3972.2631578947367,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
300000,0.0,75.21363636363637,0.0,1265.3061224489795,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
400000,2460.7675329607728,3482.6069907410115,3579.498356662357,3345.0933175614628,3592.8556757516158,111432.024833858,114900.963592233,79901.853726957,62499.935096153844,50728.76160078566,0,0,0,0,0
500000,19373.562228363426,13730.719501718213,11551.115757334395,14858.896249243799,10519.183663833806,62951.05923460898,23266.01025236593,18253.3571945047,15130.643518518518,11057.581699346405,0,0,0,0,0
600000,21995.655197657394,20777.7146529563,25593.961267605635,21249.71020408163,12864.244444444445,56606.34444444445,52347.70731707317,60367.875,69133.24242424243,29367.75,0,0,0,0,0
700000,2516.388379822582,3392.7548977406414,3334.1035640019527,3133.1292655753555,3379.2980736535533,159589.0098953916,173899.06539809715,121584.84690088546,96615.6987767584,79719.41738675046,0,0,0,0,0
800000,18291.0189171091,13165.727061116224,12026.938172450371,15710.263305814158,10672.80847550908,90552.93207422135,26307.318744838976,18721.959154929576,16767.86779981114,9362.238888888889,0,0,0,0,0
900000,27280.54922701383,22224.14814814815,23699.76277372263,21616.44090909091,26475.49315068493,54726.63716814159,41702.470588235294,55633.60975609756,38427.023255813954,50866.27777777778,0,0,0,0,0
1000000,2454.987268061424,3475.1254844879845,3461.4198853177704,3172.351387167626,3449.3884126514927,191462.50390866076,216953.48015790567,137345.1157189682,116815.30637079455,81093.35951045385,0,0,0,0,0
1100000,18234.654811764707,12816.993692628259,12554.58570554025,15022.454869964304,10357.25556792873,110112.60890248047,27093.497784937575,12963.69844789357,14191.189504373178,8106.826689774697,0,0,0,0,0
1200000,27746.26988182689,23299.287037037036,26145.52490421456,16642.026905829596,15916.891304347826,45603.350993377484,38735.11827956989,29514.244444444445,15806.978494623656,29537.761904761905,0,0,0,0,0
1300000,2407.728496152367,3471.592284864314,3501.188148011797,3237.0985488159126,3359.918846434573,214808.77835269272,236730.7211508062,148814.5301526152,129284.49797794118,86170.74288039056,0,0,0,0,0
1400000,17673.128840877915,13867.601841726619,10338.948764484154,13695.223164351435,8971.606936416185,109888.47785194175,29774.089760348583,16658.04701754386,13238.202666666666,8915.315424610051,0,0,0,0,0
1500000,29228.980513728962,20861.728624535317,30253.97610921502,10992.516666666666,26315.862068965518,56185.09493670886,37737.614583333336,27365.43181818182,103796.09345794392,35405.117647058825,0,0,0,0,0
1600000,2281.059516564352,3436.578024777712,3351.4341610171577,3234.390262660497,3425.9691769222086,235198.26134143694,264447.34830110346,146460.33090649536,130194.00265000947,79342.4520316027,0,0,0,0,0
1700000,17797.716943287265,12763.806734910779,12989.212418300654,14083.82,11010.428652643548,120543.16387559808,31945.959054453357,14854.474664679583,14083.898625429554,8406.202898550724,0,0,0,0,0
1800000,34659.53022236141,28406.812606473595,22510.941634241244,9602.589390962672,20550.08108108108,54775.19689119171,20939.339449541283,30347.326530612245,185608.8524590164,21204.033333333333,0,0,0,0,0
1900000,2406.4973215146656,3413.2042811195947,3302.6269133185333,3385.773069362917,3173.4065356856454,239564.02213032302,286736.8978110219,151638.63456048083,125859.2471095434,82819.99943677837,0,0,0,0,0
2000000,17071.518141854955,12499.663662661325,10173.508310045594,14850.922903770399,11613.30819316332,103525.92334830019,29929.090012330456,12920.515132408575,12887.389396709323,6902.963375796178,0,0,0,0,0
2100000,33264.185921547556,25802.849279161204,24843.058558558558,8637.73985362608,19671.091954022988,23124.21186440678,19808.286585365855,16775.526315789473,162583.91379310345,21124.184210526317,0,0,0,0,0
2200000,2374.461991682894,3450.1609027492004,3361.0495771466476,3306.4204288205724,3203.911674414525,250524.9196491228,293072.13611799147,146052.96436558818,138121.5445047217,77440.36897152818,0,0,0,0,0
2300000,16298.08930833956,12221.52897804283,10272.422535211268,14031.865152334596,9923.347550432276,124084.97427652733,27375.145666131622,12518.292619203135,13249.701739130434,7749.773109243697,0,0,0,0,0
2400000,32697.99157641396,23965.613233923577,20856.295774647886,7598.019911504425,16497.133928571428,39034.56746031746,23736.463768115944,23752.864661654134,198108.83615819208,25631.880952380954,0,0,0,0,0
2500000,2196.6393702657388,3417.5447374271757,3457.4304176333067,3393.088903063907,3150.10775074184,256324.60140015557,310710.5427807487,152358.0887174542,136862.03159813653,73622.26918199113,0,0,0,0,0
2600000,15990.916462154795,13013.59627984453,9444.135718599035,12916.033914918644,10116.174264281593,140167.12440191387,30174.281442031956,13211.771076923076,13487.843777581642,9127.163025210084,0,0,0,0,0
2700000,39058.190675170445,25969.002127659576,21954.68893129771,8573.001195695497,16735.375796178345,48166.60769230769,19892.675126903552,18909.29268292683,180772.3023255814,22252.98245614035,0,0,0,0,0
2800000,2251.882676513935,3400.5981851586585,3343.89573386363,3354.8664004914003,3160.944481276857,284177.07989720826,321126.7251789976,155472.6822327044,138505.64644351465,71354.58985857193,0,0,0,0,0
2900000,17863.96491699017,13321.105830936047,9627.419837182257,12105.020625889047,7991.271312584574,139518.85146379046,30346.02201524132,10275.10758377425,14039.584405144695,6398.650326797386,0,0,0,0,0
