time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,789044,789037,97485,0,160239,160035,2612,97353,2612,51.565426170468186,NaN
200000,0,0,0,768161,768161,69879,0,158995,159049,2043,69935,2043,45.71080487317755,NaN
300000,0,0,0,743714,743704,58384,0,161234,161256,1555,58421,1555,43.87972027972028,NaN
400000,0,0,0,730075,730075,10640303,0,97653,97761,38899,10632987,38864,2142.4493216280925,NaN
500000,0,0,0,722006,722006,1331752,0,73790,73804,38330,1335732,38336,280.2117224880383,NaN
600000,0,0,0,714969,714964,149661,0,63677,63658,38959,149831,38948,42.40469091631882,NaN
700000,0,0,0,711026,711026,10324922,0,86820,86839,1443,10316767,1483,2071.164113785558,NaN
800000,0,0,0,705365,705357,2036360,0,75548,75548,1664,2034404,1664,419.6955484896661,NaN
900000,0,0,0,700262,700262,518645,0,62412,62412,1504,523609,1504,115.56424025457439,NaN
1000000,0,0,0,696992,696992,10178407,0,87657,87657,2041,10170723,2041,2035.7057307158439,NaN
1100000,0,0,0,693443,693436,1985500,0,74424,74424,1692,1983045,1692,408.22909235037656,NaN
1200000,0,0,0,690280,690270,566645,0,61803,61803,1507,571616,1507,124.49445324881141,NaN
1300000,0,0,0,685050,685041,10151040,0,88716,88715,1510,10143420,1510,2030.488994646044,NaN
1400000,0,0,0,680737,680725,2039221,0,72502,72502,1300,2036485,1297,419.24220766329165,NaN
1500000,0,0,0,675801,675786,613643,0,61212,61212,1735,618543,1738,133.7936161776368,NaN
1600000,0,0,0,671432,671431,10406822,0,85472,85435,1363,10397611,1341,2083.4579030976965,NaN
1700000,0,0,0,664317,664296,2071553,0,70702,70737,1442,2070563,1458,425.81097197376266,NaN
1800000,0,0,0,659334,659334,699892,0,59640,59638,1253,704773,1259,151.39166832768586,NaN
1900000,0,0,0,653947,653931,10322238,0,85170,85169,1638,10313069,1638,2070.7138877835255,NaN
2000000,0,0,0,651380,651372,2027225,0,69867,69864,1544,2025921,1544,417.33174129353233,NaN
2100000,0,0,0,645604,645592,656794,0,58224,58222,1168,661652,1168,142.6327548374227,NaN
2200000,0,0,0,642292,642286,10359813,0,83325,83322,1922,10351015,1922,2076.1705765407555,NaN
2300000,0,0,0,641242,641242,2106617,0,68843,68842,1405,2105221,1405,432.66905330151155,NaN
2400000,0,0,0,634448,634431,658135,0,58014,58013,1672,662984,1672,142.51721393034825,NaN
2500000,0,0,0,631527,631527,10520993,0,83231,83231,1849,10513419,1846,2105.265832837006,NaN
2600000,0,0,0,629944,629941,2113192,0,69044,69044,1573,2116136,1576,432.81158270527567,NaN
2700000,0,0,0,627359,627359,701122,0,57905,57903,1588,701015,1588,150.42152199762188,NaN
2800000,0,0,0,622152,622143,10349458,0,82273,82266,1572,10341704,1572,2068.556613127107,NaN
2900000,0,0,0,616520,616512,2127764,0,68367,68366,1295,2130689,1295,436.0863780778396,NaN
3000000,0,0,0,611211,611193,701274,0,57076,57076,1389,701026,1389,150.82537788385045,NaN
3100000,0,0,0,607871,607865,10190816,0,80197,80195,1639,10182428,1631,2039.1131625967837,NaN
3200000,0,0,0,606882,606876,1986365,0,67062,67061,1696,1989610,1703,407.66865197538215,NaN
3300000,0,0,0,603972,603955,677938,0,57235,57230,1673,677728,1673,145.75198255352893,NaN
3400000,0,0,0,602924,602923,10200445,0,79919,79918,1556,10192433,1551,2037.3293697978597,NaN
3500000,0,0,0,600280,600260,1976856,0,67893,67893,1687,1980375,1693,404.18047044870525,NaN
