nodeID,topicID,is_evil?,numInConnections,numOutConnections,numEvilOutConnections,numEvilInConnections
5626604434842560705549189236799338350146531596854766808354080297933959270,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,9,16,0,0
33931709657380429869728950659546322360058885926404961426008385348308540618,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
38685854180260792273499480595685015906935886734659030544607431992205496194,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
52967468433894361156456937796351483431957237122634971223389945902726844929,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,25,16,0,0
81556841023970121120899441130465805511590452567032258577287640116993785727,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,15,0,0
86558882772486931431192013226509256956803086123319519031083359314439320565,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,22,16,0,0
112768393600400534516908768698649925827108164495428207306203293082902209005,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,8,16,0,0
118493892734766580023858495361447661999549019782998516262290853372118842794,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,0,16,0,0
132077939569425486010446564530724113531880522917547147029709923923204193545,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
137975261688121226642300992345239248377506761490195817009255539818880533769,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,4,16,0,0
145218966666364256489015175537515829610470181882657929849898402267350350131,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,33,16,0,0
154675201070605018801300277080264658902372210538568101271542458453409967701,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
201899233920066004713554481601117549270961464718793966717471679565357008399,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,0,16,0,0
236339183474062004480239707451757974411593495453768379508247540667473475382,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
240866937645760854855800521846398460769442769318470865534722391767336950309,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,4,16,0,0
278123472349787394090260194391607740248934038007017503829219417050150477797,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,7,16,0,0
350676934223421009022902356566537554791851598630448333621171263798866862864,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,8,16,0,0
362412821387931804422536385888330304120017687563450526399410319825804465817,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,9,16,0,0
371330296255330872536769938985260684283184057891703305694295192621081884761,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,15,7,0,0
382764397353830770563691216888096905211832422814411738723594642682237979704,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,8,16,0,0
409669226925709280213881130387901462354273630427696438409424328920503038850,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,12,12,0,0
411853451341528880083914102287318881174436662711974405553790545681504866930,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,1,16,0,0
414957258157631481706810853112547029624116316429478766586867429501377743589,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,19,16,0,0
444807889287544245479620291793394810615896900770044293758033183064318636515,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,12,16,0,0
445446449856931865876543438341970580189893959246714124006799201481915563407,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,4,16,0,0
459235019657768569415840238179593053589145027624611755149133529402499160681,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,11,16,0,0
