topic,nodeId,count
t4,112037102804438962323648585541098951324305469609825679658411716058338631562645,12
t4,39289372636681056969101252416221791703538292191278268860005464662394674356898,7
t4,34177985984734337520718634446091874907371696031823430798292398757996323587653,3
t4,48349919898367418055603893983618453451520742658972516847666553600882379104834,1
t4,13298237466801581234652231984613914881143092460045977250365112091918323532651,4
t4,112794102184973779916283545231413436581965220082654547225789912806631521144066,12
t4,104027906760968151307693691268487793638849325870228190276262898775597804324429,7
t4,64993860570384360531417747703913511015352004518548147765575043027830278928596,16
t4,39123331856831158912872074062510504339947581774530359046981878193532588673867,11
t4,48071784748536363505612708757842096379789173572758237565883758872766477782693,9
t4,70533718547789147343155751334330602953433595269021583581524321445703682319484,0
t4,95804306659210998813886964006355647974580253224243379642550749124732488676559,9
t4,57910595308474740869346346689091909978643660596938704695758097058115046226395,22
t4,40420432241791307743458810521464631258832927702301393671901062594234148604435,8
t4,36125354220084467162680561294170780828395002253730415275772508924021945319027,0
t4,78556342841085962907234829073272056303450328546717967131248168844416960065449,29
t4,100395792019136246607948316055308298990309987228143317945882000231593032146810,2
t4,41035056661720228772133133461820527775695686482129919694132994823457190719324,0
t4,12021611466363327548114728483290882636024609485225336824692352846486975533816,11
t4,24258906962244866278593236407517920235076969537810569744160560170971742249097,14
t4,67758098479111868569958694144690644541474990656237669538589988395556295859708,22
t4,28592204851265711016358283262206648026373075377064100836236109015517671720454,4
t4,38801215060862958821566390050673369688915053763952167737421348067322931357693,1
t4,25477971442412136034466047898551362284203691736152165570057295518672677564639,4
t4,80069804631285161283125082462964466494071734951278313694298336983622565964859,33
t4,92558321533631384512842120207826875574192262214312417015499817432951422102720,10
t4,756785444710371515169706764827766268991901762456887614457166653058193434270,10
t4,69386380677371508379034137202947245804786731790196832448107670190958222986048,23
t4,56455366711064254709188375547801652519090459450859198278609261093669894273536,6
t4,51569920104464280021814469988197360750024873512861726957027502581996912131937,0
t4,29569329480075874881423863964541265243877328197761058774715709849664148400706,10
t4,73968233300373874613731385299373707924514784983361858659932029258752411016659,41
t4,48708517725819632659323563739768662574985835972721300825219617324909288856127,6
t4,54909162257924283183870763754708090323969888454643173407441693747505559763537,12
t4,84354276056187722432045865960692587556529526051729904169519429405455844796914,29
t4,112864992757361709397768522940086306683160153859001264890588343996936798003945,12
t4,19747603897682446402446097791874082334180386101203937173653687898348614423288,7
t4,83178576485941049983815914201836506822098740297550350465572999645269011211161,29
t4,102758407109869399313282969603311778507067034573618439017495317650634867005287,12
t4,24242304194726424525913732722251681308707485655435880504874816394172598198490,7
t4,90042094728032963924902635697933330564900052046969052722927349650590263710790,9
t4,22906819433339337449547002128316052842897574016796760592894036369045242547518,2
t4,66797755194203376284930412159540917774016492707066561492050076132023167432533,18
t4,80325243083600929610690889722940150910867769899465782798741362741689406859816,24
t4,102974403404133683619691595543226783944665038150116226465199725314626639048326,10
t4,97990317789943254915564242046078481925097587232751243452013504404595693999830,8
t4,43430369960119126612215300866508747327307369638655375138770675287490343103828,8
t4,115303894271056928753098406586034881807571147883998478482976974627303211781256,1
t4,30670385973869587481481695793860772588054332521545908767607310672792617361323,3
t4,39057467504981497805773549505839004220941464271530603883892472197272951191150,5
t4,16079331325296106430989455082439168915512404193732383701538403569957240393689,5
t4,106759378887166868633346471940347911472148356212876450296309845808221786928176,19
t4,66271183982580875211304625144439367912795572839505144849852094204200754976333,24
t4,31555544146188178982280030320272162029896487522035006080480871662943623904320,7
t4,43764045159735978286187632778754474980866849034198141167282586897634979647314,3
t4,44431887026615443322065354930784035362044588128556846699506813587830570843091,6
t4,47351140179429330050339892854621300434625451138185410809327519393930873894688,9
t4,97130135712641033435357955102049910191416169554805937197741608549171436611126,7
t4,99534081080586681243001963025167570638451023573249304652021186183786230437046,12
t4,109757938332285626422987428103036735387970513687446302422632272751377495889445,0
t4,64984548949509678257911114297261755194606046785071072030763017806154605587063,18
t4,80408971988711802926795931084377922357889971970995200731108230683095369862274,29
t4,105730934352284077427867942878304545866962009435245442795565231453819344274506,11
t4,92245075478981626803428062336222655852111713552670131749535619887826457701774,7
t4,52243526412489178407063516303406438219654021453474893468791310846811011611459,8
t4,51172690352357208676967343021639898106176761993557873529514443869879943814107,5
t4,50899286120508541500577840489868186605420754144870632518435254377655015833067,12
t4,108595232485405318587038371047257673746955155531147834570178559611651236508581,13
t4,86783877391333445590222752546660060630954218490344279130595732570405828042054,23
t4,77657181331756400093471700672704928014188574845628441790440692851175455291526,29
t4,80386384619910124800973966264555198525002514732267171300871447587266212212545,24
t4,108199721863413583919543021219667562870511911666093832311554296635827202400700,8
t4,43454344848045650072590622039374525730129626706891529832787035536968266394078,10
t4,78856546542234631855351884909048945819982783526184126800162539994165208267576,25
t4,96191848781389739878035731770725604212257576280755740034393756413557854605691,0
t4,110962218295203544219822501775931680818724195277040441421775854010479360249486,6
t4,9625548146592916972745214967284545843339623274881856394160643535952438043395,5
t4,93763149461836117991465900287974388364308891032971226471268116994875760048580,6
t4,16291450861785309043793400506819526008650459293539955041164299947952256351182,18
t4,25061941426260092673600760976055579647065992726352561623797457448800638575453,0
t4,2115596041280139492481085207293591771671690070551516703174230131673380816511,11
t4,105179797052645524996607265192788404474681186270819469255955309184809200493607,9
t4,81603174409558459881890627483744984000801096208252015509145452624771928757783,20
t4,105586302199348700727899077427126328949015511643149775962267887953066640273098,10
t4,28925554874244300015143551885457536996608447300112616761665734857593527934670,9
t4,64403556736552818371757043305694437169286224735425261247428901933944131817526,0
t4,114782878165141274155894839050045410608390573643600500780928365658627919654579,8
t4,61966781033317411505438749229387205813823158639827654948169422251444177460751,10
t4,73063013699539054539071797937875236906810346910732577596999999143897815406203,39
t4,10272822776423496694597143062403202933897707603721923701437116784713513037299,6
t4,14542422153828685754429751696342330228099389600189998505692593581786976701604,11
t4,28837019039142072618159801221786607068993562483769143520021328832607872591566,6
t4,588116220422187055915237130220021728774123177735919314788412121142835229505,8
t4,34711697435315255354726401936690863959710914931499007115710593944462886630666,0
t4,112017793152993161460882408774128248076907266953201476734536386881921976594517,10
t4,105073810712389224960211013828428646982957733237559632674280584466208686970834,11
t4,79668947524578902356932085755893608469874129369206639720543741870926834228207,29
t4,30244567160718800786291101778662660465114046207599989005052958185528532402655,8
t4,51226403521393154287666003418693649059975155296522764124379690688522796716667,6
t4,28872854029939989754041473433713856689882447157996543336735811448049957074145,7
t4,84128852840248311982673040386591817527964044759791655640025999866887344112682,25
t4,57970369351119317570663394054391324887804966996471697655542777513785118871012,17
t4,78845242987100707594444557341891232101079438706839728087344212338500998453250,30
t4,89130880468391140641264450590687196003655750199472837214892003933747957618786,8
t4,110736837989866367364480825301033949400298188695243586149611528777676764670116,0
t4,61275157016559368552178903624635608442529795652684800947556757277752693990684,22
t4,65097110525817318798968948748102789003519053825625860461439876914959537032402,1
t4,50079998769008892775274258383677191173927531963200401807638754480253612293599,6
t4,52319849295544278528144043725493855212846219532995500273393104446060706814965,10
t4,45247405179517984306116754130511862103384099537851111969261216109072913093573,11
t4,94815091335011978723204756803597957309100527839954126727270264807555316855406,7
t4,44907670355672333897217203200682800930403009859416310751151609595757576203661,6
t4,68237121100477577922954609264366334388757203591266638924848327641470728152123,0
t4,55190866808806227214518526906440977451072023105344508311352394769060991723683,15
t4,12704329502177100969812943530996846593225936498926309803665353341466655971378,1
t4,65484366324199627866483257388138226699869905376078609897252135059145489590541,2
t4,41742257613661009760469987999239543316017045985447665345703931619871467645750,2
t4,99814071261161418395735915876813314677492115362906468218885765350518807638339,0
t4,71410594477271600687193545540817056682679527900635095251936073088771611971872,0
t4,63623807874712774213837521751598626369351149448866494825984170187502469639781,22
t4,78549768066676960361546002144968557363580982006689530982507799171266264024905,36
t4,53737888742153823838952031717850110915944865688686718588551046134280859411022,0
t4,4236560479069557701414467046118444499441042576644406542392044625743060997059,8
t4,41137790117172639392528495264334332004801372168292494755926225690272655051989,10
t4,88163324821831583840391506189367292045804878523120138226669012424020686805516,3
t4,21877777696989619382675179316902799848484100850959165293478802258283128429029,1
t4,48708423742931953728161097512838553525421516864344592809423480741021256969943,5
t4,86164049704100291024893899517420400301391779291550854295659563458047983277611,0
t4,50697469299833354007710369725774522581427407070750570700377345075652231887193,11
t4,71652815305306645978449491544509963018884467403620673897286352115052564305195,20
t4,83952914062207219702429230616180179540993146518474184912347223121651065122749,17
t4,4285778623061417386305155592670490066882800703048674344917025258922530887464,8
t4,32812582977818163172085836834616310998257582338253322382297378334303320233546,10
t4,43060757677081113110531565280516963444222649109724621197535661519517897705527,1
t4,12876737152749959646787540650247551965012628421425461551862275212602705401625,0
t4,4657810633974186213789242995529896851589891181358973479861823377982818886128,7
t4,104201592781081101655748035202692250704679064095340636342527903650176852679087,9
t4,114369941588808790845287728810861078718196168607931852964930453186952998049472,8
t4,31663907574681345225049079327679668723593177041172713900960784351153422175021,0
t4,17201993257481193529324714067323638065229970524060216490376074937050171971389,0
t4,11682700836346694788760250414225198800937168452031765594597667023438259716423,0
t4,28150162905662578202807211686744410721125052820986919574676514246991946767113,7
t4,28861381348717913692996364636568109204201998396971399985446443674710181856601,8
t4,24965051400240107545474433827419073641959959011472133818665731906328567735896,6
t4,90663872928036148495494790076824781797182126046090603252993068353942777516556,10
t4,114464528250730601339009779341877556301415588649865944381949269564036103019516,5
t4,17940522949897726585919825082850015704169093335717667797340508729519914563758,8
t4,85271851813002436548210764393992093660970781607493320690632763908393609074834,1
t4,71480881210047365962543613185167998794381928660595442736745751990509874441870,23
