topic,nodeId,count
t4,82275282905164034289472353906611345496564490390544945164544786241081938261572,41
t4,90893424569463218073500967980762827823385914286163089737098799842113463797986,0
t4,88464934416566945618410510125976903832959066236446286422452520860722035933794,43
t4,31269676395158588435397600631633108455386650908766524285068225558566307877469,37
t4,26211355204944698375916393771754451384469250033572005380678078980069756215956,39
t4,59521904190614892167177996972887665780424335714367097426994625996526575463320,61
t4,103793694742764177411640542740362843314167169321732992716267065586829822572427,46
t4,29027501376609363987888277967724518248831687151802036568366917958310807602003,48
t4,79695791552426369592371000437189063934434827052033250939871745465000519318801,87
t4,104027906760968151307693691268487793638849325870228190276262898775597804324429,45
t4,40093443202079286618398950945782568320338895035053896889417066621636145687992,42
t4,62690474544482222797258606631718853439896384130664020546487216829945237722584,51
t4,22504824570421931050629066249264149034840692382383017879956879541777286617930,45
t4,71589160087394228553284261551188228654752534048602693004012276905379288793630,49
t4,104434581314433683513456570590582881119157759694611417471590066703350686289483,39
t4,28174954628439376221778059460157599053750628497326597580728772747083920072304,44
t4,75068391016888550144545392800835465153634416330909709181647852879930916728132,41
t4,83198475089861897111325432825441173365636034263712232585466253444032317208035,39
t4,80813839313385121325096071576243900892810204769040361151265038564135776674234,40
t4,104282189803873040394730317767822718047394135440792970727243359306916342714694,41
t4,95195735397322127482547824104288248992168174237257776607640272254186371651422,46
t4,41584364719143264433570000463068788507419755694076965590177671451949279238142,56
t4,69386380677371508379034137202947245804786731790196832448107670190958222986048,44
t4,30495583109933497115314225706595053028863979069003397175344372782517500959894,42
t4,70582944347330756392759051862644252507872732588532042943080263473114702822636,45
t4,84354276056187722432045865960692587556529526051729904169519429405455844796914,34
t4,101630892697454419365226833097108504447073337900642085760949685935210529671261,39
t4,13002148705587039903422207595000848705079622474973961111602177497681589522459,45
t4,74546508794165760646352398773698791332041856750361419280614838352116220032110,81
t4,51424444134963290258368710050872701070015251243921651969364028603711334676620,51
t4,26618815641619025620621745764070508559067814050466317336935391862528951281288,47
t4,19747603897682446402446097791874082334180386101203937173653687898348614423288,40
t4,108801088954817625784256866738684088822338443900007604742179707383077671075295,64
t4,30112904280010412751135055687592605720048029483952704558881605011955552598082,44
t4,37715854101940770738320748879943908242900823058906806025863453088152094699741,47
t4,106071065785601989923780090353441095118924498427530323875707199515036887244132,50
t4,90042094728032963924902635697933330564900052046969052722927349650590263710790,35
t4,76347648702881973690257232030267253096320385033903798122781267025236151506983,40
t4,85902824483747942249169969665010728504570596347532567168985548260988863370409,42
t4,23733018013251683278641372081576127826538686056025045589527777738856038631076,44
t4,80325243083600929610690889722940150910867769899465782798741362741689406859816,39
t4,69865470886718602201496659657012868133408200128086306690483476780815149725199,56
t4,94640201295957278637055489234703535599422904416173438338963852803958143745517,55
t4,51702608650992450959625096493670387641756831353251709195075016992675237784495,39
t4,83652354109794214092360863683353530626172678490432068071402579021289988929996,34
t4,92031565316505121531391971679756725045442475370286169632446939734215088911781,46
t4,114448758510734398841157208547614452036678350028427721482178677733642353043604,38
t4,37235974466860998875210759689976384709766363608580216146797336754949720569274,41
t4,72903475661709386240603507834324682787689778281874815307785526742268886806709,45
t4,65977463473198836641582932945500223781329061677504417035257128849729994970401,42
t4,32174210563633455097510244173311907909257286898749216752504859725129599773865,41
t4,92342802779817427629220329114039572895803398650999467435861612292766868040508,48
t4,40885774530016020771217159461530128972456744955859174788642775057403689321693,44
t4,80355540300869633093137698128307219725081259680774364448522618779440232660411,49
t4,510817019323875850628644597174608321867425569576905955682065643434366544392,44
t4,15428354951794440672607741616819347527528643999247439905264022798779524200096,50
t4,96582742716412739148718130994647645362922862415586583380628307843449358553297,51
t4,47351140179429330050339892854621300434625451138185410809327519393930873894688,38
t4,97130135712641033435357955102049910191416169554805937197741608549171436611126,58
t4,2728967114237371534762146917601286113803273256651998719144543635870425183061,58
t4,79839553416629078592781919956656767448964052329707768290549877226866756070194,41
t4,111162603847170157780542380191290511544045291011835386595107536376783045119530,54
t4,64984548949509678257911114297261755194606046785071072030763017806154605587063,61
t4,21942468657532853155230955877176859785939114449994127723541498184774349354991,55
t4,12474002652465936095800586416074951433872984978474992683717049308381007935114,44
t4,71780488606827449016127752060852028558033351991876139760371709101141958091951,45
t4,31929050706464375613109976601482561776515839785134209989707913219478884961960,44
t4,50237038139342834592017357133447301208393351021398447038213844343967655842113,44
t4,105730934352284077427867942878304545866962009435245442795565231453819344274506,39
t4,61120815887559432620489393584510628810992659391913290804889430989443676940244,44
t4,31799134658188126549362099585872662789727483983433820413176442813993439051855,42
t4,32064397237884131538456931238681462511115290779481409080298968950651159370618,33
t4,92245075478981626803428062336222655852111713552670131749535619887826457701774,45
t4,94369471497797796869538622015956120412198998813538686122543468942517108585666,44
t4,51172690352357208676967343021639898106176761993557873529514443869879943814107,41
t4,24677685866464310779106332456363094996717773040006606309715507876670634757517,47
t4,33089473743850267374928488341813220898234644635226159438299099810303527030075,45
t4,51623080913264995634098067997165471924478218901592065188361500822682147646694,37
t4,84971797835460106149791907552980931519962629498783736647976861950550585820529,43
t4,28869078223496166123208223682802961748490824812699114144409558395258265095088,46
t4,23797147990666015587251518038336166480878128384877293752281805215911835011360,47
t4,78856546542234631855351884909048945819982783526184126800162539994165208267576,41
t4,94369195792687867128283907473577716879116679839458556420800414516104380106202,65
t4,51394761963011411342162694706511760264073562233539390813625437358262701316661,44
t4,110962218295203544219822501775931680818724195277040441421775854010479360249486,40
t4,33891994628584477797370318822795067085520332126205344174364585911818954822731,57
t4,93763149461836117991465900287974388364308891032971226471268116994875760048580,39
t4,2458719063703668530624516331136554609267933848740509002351433147286478306330,41
t4,41835690718386576082008057506992160977389485017791992561625997681617843241301,45
t4,17944238040991142811031834895647192271812551422082389746823877181224357391473,52
t4,5250015609672708799308870849794366574071640622363303562373957940586582211076,42
t4,76540819856157130793748084208285691211441649463624717119623405399231725470615,36
t4,50374208954274807533085803913222472119114334856558997990873166349814891419621,43
t4,41616164789959037061576099119857560891196265731349711450103136598839272629250,34
t4,54561760248301731815899346053346217009407665081352082915950305861161832756240,48
t4,50373709196109353357191163774242857316641130223976933180658166131327442150810,42
t4,38943819389967219581578306555085859474439184314651659276414388745518818926243,48
t4,28925554874244300015143551885457536996608447300112616761665734857593527934670,39
t4,114782878165141274155894839050045410608390573643600500780928365658627919654579,48
t4,104910572478087201330518300076815313936510861058595672566843183211408948712737,36
t4,96877194323146123966604893361678459205058999409986447613458166160403998050783,66
t4,87019023741314756087765108446888840107388792915571940921154577282744829049926,49
t4,115515829574924926403811977436552718097419094941176500471073140177115808504465,47
t4,33327378069922729851279518085630548372497209319639270018168377101749919162749,46
t4,14542422153828685754429751696342330228099389600189998505692593581786976701604,44
t4,8732039553429555100275950891860554942242328553998646527970123342015768624257,47
t4,82505175687058062841352317480891666411655394730575026297603645570850126139340,39
t4,88374138144547020778201388495590415484137278646610847447526798099926498102328,54
t4,49912845377053572541923575636659033206314981714481859589532827035033615467398,53
t4,8273269925502120022121349510350145696494712488596914278801555346357881144542,44
t4,14758120528627276795598449311527032249235750393318921976948672348799074251806,42
t4,76683057031283010212790117217833076229568846937088637614338516097593517840392,42
t4,23986406574779426455641568362307161721573039071464721186352406065066363935257,41
t4,58347690503053855527754616281867684170712316338536853803235628901139389119972,42
t4,12282777016579024509279731850703318433967245919722620188395407600034099358617,45
t4,46814033260405906493476127577516531535745328367395864517643444640933372917418,43
t4,11818859576863627468127539119931059663550311160724295719493639806413420514644,35
t4,84362952906950858947597268217055764478697189642285025924550732597094594548602,45
t4,25150747699597461612266239622315144339273538652391038897825329998283166706279,43
t4,21245226248554243253862608228085278993364060714509682121122324127448813867704,46
t4,28872854029939989754041473433713856689882447157996543336735811448049957074145,46
t4,21619471057608086814098615996798879291483114121292608796028525828250801386566,49
t4,93343807065535798127998663393089094224597294594484126673811593426832021526896,46
