id,topic
0,28
1,94
2,8
3,4
4,0
5,4
6,38
7,0
8,17
9,2
10,26
11,48
12,37
13,59
14,0
15,65
16,4
17,4
18,0
19,0
20,4
21,3
22,14
23,0
24,9
25,24
26,0
27,0
28,9
29,0
30,0
31,1
32,17
33,0
34,83
35,0
36,0
37,15
38,20
39,0
40,0
41,45
42,1
43,0
44,7
45,73
46,0
47,0
48,0
49,49
50,4
51,0
52,10
53,3
54,3
55,28
56,9
57,11
58,0
59,0
60,8
61,0
62,46
63,5
64,1
65,9
66,4
67,2
68,28
69,6
70,0
71,0
72,46
73,7
74,17
75,9
76,5
77,0
78,0
79,0
80,2
81,0
82,5
83,14
84,1
85,27
86,1
87,0
88,22
89,0
90,0
91,78
92,7
93,10
94,14
95,9
96,12
97,5
98,0
99,5
100,3
101,80
102,16
103,20
104,0
105,9
106,93
107,11
108,67
109,0
110,31
111,81
112,0
113,1
114,14
115,26
116,0
117,0
118,0
119,0
120,66
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,90
129,1
130,1
131,1
132,9
133,48
134,4
135,16
136,1
137,50
138,3
139,80
140,0
141,50
142,64
143,0
144,50
145,82
146,6
147,3
148,1
149,1
150,0
151,14
152,2
153,0
154,35
155,1
156,69
157,0
158,48
159,0
160,0
161,11
162,31
163,0
164,5
165,0
166,0
167,4
168,0
169,3
170,0
171,10
172,13
173,0
174,6
175,2
176,0
177,13
178,3
179,17
180,0
181,61
182,59
183,3
184,2
185,3
186,36
187,0
188,1
189,11
190,0
191,42
192,0
193,41
194,1
195,75
196,37
197,10
198,0
199,27
200,0
201,0
202,4
203,7
204,0
205,0
206,27
207,3
208,0
209,0
210,0
211,0
212,3
213,3
214,0
215,0
216,0
217,9
218,53
219,2
220,53
221,0
222,34
223,12
224,69
225,0
226,0
227,48
228,52
229,52
230,45
231,2
232,6
233,2
234,1
235,34
236,15
237,0
238,0
239,17
240,4
241,0
242,0
243,23
244,0
245,0
246,49
247,0
248,0
249,86
250,0
251,0
252,64
253,0
254,8
255,66
256,0
257,48
258,1
259,10
260,0
261,0
262,58
263,4
264,0
265,0
266,3
267,20
268,16
269,1
270,1
271,4
272,0
273,4
274,64
275,3
276,0
277,2
278,49
279,2
280,9
281,4
282,59
283,19
284,25
285,1
286,23
287,2
288,0
289,36
290,17
291,59
292,0
293,3
294,4
295,0
296,0
297,8
298,0
299,75
300,13
301,2
302,2
303,9
304,0
305,56
306,0
307,13
308,30
309,16
310,54
311,9
312,0
313,0
314,4
315,10
316,7
317,23
318,0
319,0
320,0
321,0
322,0
323,47
324,0
325,2
326,82
327,4
328,5
329,37
330,2
331,0
332,0
333,80
334,32
335,1
336,2
337,27
338,92
339,18
340,20
341,3
342,16
343,98
344,16
345,49
346,31
347,47
348,63
349,13
350,0
351,1
352,12
353,97
354,2
355,5
356,3
357,11
358,47
359,73
360,0
361,5
362,11
363,0
364,24
365,0
366,14
367,6
368,1
369,12
370,35
371,27
372,0
373,0
374,52
375,18
376,2
377,0
378,22
379,30
380,0
381,0
382,0
383,3
384,0
385,16
386,3
387,7
388,2
389,52
390,0
391,0
392,9
393,17
394,0
395,0
396,7
397,35
398,18
399,8
400,26
401,37
402,0
403,6
404,0
405,6
406,0
407,0
408,15
409,96
410,1
411,32
412,0
413,56
414,8
415,88
416,17
417,0
418,16
419,0
420,0
421,26
422,57
423,37
424,53
425,26
426,41
427,1
428,28
429,9
430,1
431,1
432,3
433,6
434,0
435,22
436,0
437,0
438,0
439,11
440,0
441,4
442,0
443,2
444,0
445,0
446,0
447,8
448,81
449,0
450,0
451,12
452,90
453,42
454,4
455,1
456,0
457,0
458,0
459,5
460,19
461,0
462,9
463,5
464,0
465,1
466,2
467,4
468,11
469,1
470,0
471,10
472,63
473,9
474,27
475,5
476,5
477,18
478,0
479,57
480,1
481,2
482,2
483,3
484,7
485,0
486,12
487,73
488,1
489,0
490,64
491,0
492,4
493,0
494,26
495,1
496,0
497,99
498,0
499,4
500,68
501,1
502,0
503,0
504,2
505,0
506,2
507,89
508,83
509,35
510,67
511,9
512,0
513,12
514,0
515,0
516,18
517,34
518,24
519,0
520,11
521,34
522,1
523,11
524,2
525,0
526,0
527,1
528,86
529,18
530,5
531,23
532,0
533,0
534,0
535,0
536,51
537,0
538,1
539,0
540,10
541,8
542,0
543,14
544,58
545,0
546,68
547,13
548,0
549,61
550,0
551,20
552,0
553,44
554,0
555,1
556,0
557,14
558,2
559,1
560,0
561,0
562,0
563,0
564,0
565,8
566,10
567,0
568,0
569,5
570,0
571,0
572,1
573,2
574,0
575,1
576,21
577,0
578,22
579,59
580,9
581,10
582,24
583,0
584,8
585,54
586,33
587,0
588,0
589,29
590,8
591,1
592,1
593,14
594,2
595,74
596,10
597,9
598,70
599,44
600,10
601,81
602,0
603,62
604,0
605,9
606,35
607,0
608,0
609,6
610,0
611,0
612,0
613,61
614,0
615,61
616,0
617,0
618,8
619,2
620,12
621,3
622,0
623,20
624,5
625,87
626,97
627,0
628,16
629,1
630,33
631,88
632,7
633,1
634,0
635,16
636,55
637,4
638,3
639,4
640,0
641,11
642,0
643,2
644,0
645,20
646,1
647,0
648,0
649,0
650,9
651,0
652,78
653,1
654,2
655,61
656,0
657,26
658,0
659,0
660,50
661,22
662,4
663,47
664,17
665,23
666,12
667,17
668,26
669,0
670,3
671,0
672,11
673,11
674,5
675,15
676,25
677,0
678,57
679,13
680,1
681,1
682,12
683,4
684,16
685,25
686,33
687,0
688,0
689,5
690,83
691,70
692,3
693,30
694,0
695,50
696,47
697,9
698,94
699,0
700,34
701,0
702,4
703,19
704,26
705,0
706,1
707,1
708,15
709,0
710,60
711,0
712,0
713,11
714,3
715,0
716,0
717,0
718,6
719,55
720,48
721,0
722,20
723,0
724,23
725,0
726,0
727,0
728,1
729,48
730,5
731,0
732,0
733,55
734,17
735,2
736,2
737,0
738,0
739,0
740,21
741,4
742,4
743,56
744,0
745,1
746,49
747,0
748,37
749,2
750,0
751,0
752,56
753,49
754,91
755,36
756,7
757,57
758,0
759,0
760,11
761,3
762,1
763,2
764,0
765,0
766,52
767,4
768,0
769,73
770,45
771,0
772,13
773,66
774,10
775,0
776,0
777,1
778,0
779,4
780,42
781,0
782,0
783,9
784,2
785,23
786,2
787,94
788,0
789,4
790,21
791,0
792,4
793,6
794,50
795,0
796,17
797,63
798,0
799,2
800,5
801,74
802,0
803,7
804,1
805,2
806,2
807,10
808,26
809,0
810,15
811,6
812,0
813,96
814,0
815,97
816,30
817,0
818,9
819,3
820,0
821,73
822,2
823,0
824,0
825,21
826,0
827,10
828,11
829,2
830,0
831,87
832,83
833,1
834,61
835,0
836,27
837,0
838,0
839,22
840,0
841,6
842,0
843,24
844,13
845,0
846,1
847,7
848,92
849,4
850,0
851,4
852,25
853,9
854,71
855,0
856,0
857,8
858,59
859,75
860,19
861,0
862,92
863,5
864,0
865,26
866,0
867,0
868,55
869,15
870,76
871,21
872,5
873,0
874,0
875,0
876,11
877,1
878,0
879,83
880,4
881,2
882,16
883,25
884,43
885,81
886,0
887,8
888,66
889,16
890,1
891,3
892,3
893,34
894,0
895,8
896,2
897,30
898,0
899,3
900,8
901,0
902,0
903,0
904,6
905,64
906,0
907,0
908,20
909,5
910,13
911,4
912,30
913,7
914,0
915,31
916,96
917,1
918,12
919,0
920,0
921,2
922,11
923,8
924,0
925,86
926,21
927,3
928,0
929,20
930,85
931,78
932,0
933,2
934,11
935,37
936,0
937,0
938,4
939,5
940,6
941,6
942,0
943,11
944,1
945,0
946,0
947,2
948,1
949,0
950,5
951,48
952,16
953,2
954,8
955,5
956,1
957,0
958,3
959,43
960,5
961,0
962,1
963,0
964,0
965,10
966,0
967,15
968,1
969,33
970,4
971,18
972,43
973,34
974,21
975,6
976,0
977,0
978,0
979,35
980,5
981,0
982,4
983,1
984,5
985,24
986,4
987,56
988,30
989,40
990,1
991,9
992,0
993,34
994,27
995,0
996,0
997,6
998,14
999,0
1000,1
1001,80
1002,14
1003,4
1004,28
1005,0
1006,2
1007,0
1008,0
1009,29
1010,0
1011,31
1012,0
1013,0
1014,1
1015,0
1016,87
1017,11
1018,2
1019,0
1020,10
1021,31
1022,8
1023,2
1024,2
1025,40
1026,7
1027,98
1028,29
1029,8
1030,84
1031,88
1032,7
1033,0
1034,10
1035,0
1036,12
1037,14
1038,15
1039,0
1040,17
1041,8
1042,70
1043,2
1044,0
1045,0
1046,27
1047,51
1048,51
1049,0
1050,3
1051,12
1052,21
1053,5
1054,1
1055,70
1056,3
1057,0
1058,18
1059,98
1060,88
1061,2
1062,8
1063,96
1064,8
1065,28
1066,81
1067,8
1068,1
1069,55
1070,2
1071,1
1072,0
1073,39
1074,0
1075,0
1076,0
1077,0
1078,0
1079,5
1080,0
1081,17
1082,4
1083,0
1084,0
1085,30
1086,18
1087,0
1088,0
1089,34
1090,0
1091,17
1092,6
1093,0
1094,2
1095,61
1096,95
1097,8
1098,3
1099,66
1100,0
1101,0
1102,0
1103,0
1104,45
1105,0
1106,3
1107,2
1108,0
1109,0
1110,3
1111,2
1112,0
1113,6
1114,0
1115,79
1116,4
1117,13
1118,4
1119,25
1120,2
1121,2
1122,0
1123,26
1124,7
1125,7
1126,6
1127,9
1128,0
1129,5
1130,26
1131,1
1132,58
1133,4
1134,73
1135,75
1136,4
1137,12
1138,0
1139,0
1140,99
1141,38
1142,4
1143,24
1144,2
1145,5
1146,0
1147,0
1148,39
1149,0
1150,2
1151,23
1152,4
1153,22
1154,1
1155,1
1156,0
1157,0
1158,0
1159,72
1160,5
1161,0
1162,38
1163,10
1164,10
1165,0
1166,43
1167,12
1168,0
1169,64
1170,53
1171,1
1172,36
1173,0
1174,93
1175,0
1176,23
1177,2
1178,0
1179,60
1180,24
1181,24
1182,23
1183,13
1184,27
1185,0
1186,2
1187,6
1188,0
1189,10
1190,3
1191,0
1192,8
1193,61
1194,1
1195,0
1196,3
1197,25
1198,4
1199,1
1200,0
1201,3
1202,50
1203,59
1204,0
1205,3
1206,3
1207,0
1208,0
1209,14
1210,51
1211,44
1212,69
1213,5
1214,9
1215,1
1216,55
1217,9
1218,0
1219,0
1220,2
1221,0
1222,0
1223,8
1224,28
1225,0
1226,0
1227,10
1228,0
1229,5
1230,0
1231,0
1232,63
1233,8
1234,12
1235,0
1236,0
1237,0
1238,1
1239,0
1240,14
1241,0
1242,4
1243,0
1244,37
1245,0
1246,0
1247,0
1248,49
1249,0
1250,1
1251,72
1252,0
1253,0
1254,39
1255,0
1256,32
1257,9
1258,34
1259,42
1260,1
1261,0
1262,0
1263,0
1264,9
1265,2
1266,0
1267,18
1268,0
1269,3
1270,0
1271,3
1272,30
1273,77
1274,55
1275,3
1276,2
1277,0
1278,8
1279,0
1280,1
1281,11
1282,24
1283,17
1284,73
1285,0
1286,3
1287,18
1288,1
1289,44
1290,11
1291,1
1292,0
1293,0
1294,1
1295,6
1296,8
1297,5
1298,3
1299,10
1300,10
1301,70
1302,0
1303,0
1304,35
1305,25
1306,0
1307,46
1308,22
1309,6
1310,0
1311,6
1312,28
1313,1
1314,0
1315,0
1316,57
1317,1
1318,9
1319,0
1320,0
1321,6
1322,0
1323,0
1324,0
1325,74
1326,14
1327,1
1328,88
1329,31
1330,0
1331,0
1332,53
1333,0
1334,0
1335,56
1336,1
1337,37
1338,0
1339,28
1340,0
1341,19
1342,0
1343,1
1344,2
1345,5
1346,23
1347,10
1348,3
1349,0
1350,91
1351,3
1352,63
1353,0
1354,0
1355,11
1356,21
1357,49
1358,0
1359,5
1360,96
1361,36
1362,16
1363,0
1364,0
1365,37
1366,18
1367,0
1368,0
1369,2
1370,44
1371,16
1372,0
1373,28
1374,23
1375,3
1376,85
1377,0
1378,81
1379,1
1380,96
1381,5
1382,69
1383,13
1384,27
1385,85
1386,2
1387,35
1388,6
1389,12
1390,11
1391,0
1392,93
1393,11
1394,1
1395,0
1396,0
1397,4
1398,73
1399,66
1400,0
1401,66
1402,0
1403,0
1404,78
1405,35
1406,0
1407,3
1408,0
1409,17
1410,0
1411,8
1412,23
1413,0
1414,2
1415,59
1416,8
1417,13
1418,1
1419,15
1420,4
1421,0
1422,13
1423,3
1424,4
1425,48
1426,87
1427,9
1428,0
1429,21
1430,3
1431,45
1432,4
1433,0
1434,6
1435,1
1436,0
1437,5
1438,29
1439,1
1440,0
1441,98
1442,28
1443,47
1444,13
1445,28
1446,16
1447,2
1448,37
1449,0
1450,0
1451,6
1452,30
1453,0
1454,0
1455,2
1456,10
1457,17
1458,31
1459,1
1460,8
1461,0
1462,0
1463,0
1464,41
1465,0
1466,10
1467,0
1468,0
1469,3
1470,2
1471,10
1472,0
1473,0
1474,0
1475,3
1476,2
1477,0
1478,4
1479,45
1480,1
1481,47
1482,0
1483,2
1484,31
1485,70
1486,1
1487,0
1488,2
1489,0
1490,0
1491,0
1492,0
1493,0
1494,11
1495,1
1496,1
1497,0
1498,0
1499,18
1500,1
1501,0
1502,5
1503,1
1504,0
1505,10
1506,69
1507,0
1508,49
1509,87
1510,36
1511,0
1512,0
1513,4
1514,28
1515,1
1516,21
1517,0
1518,0
1519,7
1520,0
1521,41
1522,10
1523,34
1524,5
1525,0
1526,0
1527,2
1528,32
1529,0
1530,1
1531,0
1532,2
1533,26
1534,0
1535,1
1536,82
1537,1
1538,21
1539,56
1540,0
1541,46
1542,3
1543,2
1544,36
1545,0
1546,43
1547,7
1548,11
1549,88
1550,15
1551,0
1552,19
1553,45
1554,95
1555,2
1556,22
1557,1
1558,59
1559,35
1560,0
1561,46
1562,46
1563,6
1564,29
1565,71
1566,0
1567,0
1568,56
1569,42
1570,10
1571,19
1572,29
1573,0
1574,0
1575,21
1576,19
1577,49
1578,0
1579,47
1580,28
1581,1
1582,81
1583,68
1584,11
1585,4
1586,4
1587,0
1588,4
1589,18
1590,69
1591,4
1592,65
1593,8
1594,0
1595,0
1596,0
1597,44
1598,0
1599,8
1600,7
1601,0
1602,35
1603,16
1604,30
1605,8
1606,1
1607,0
1608,1
1609,26
1610,21
1611,2
1612,83
1613,20
1614,5
1615,0
1616,9
1617,0
1618,0
1619,0
1620,7
1621,0
1622,3
1623,0
1624,0
1625,73
1626,43
1627,3
1628,0
1629,3
1630,0
1631,0
1632,2
1633,0
1634,7
1635,0
1636,51
1637,71
1638,36
1639,53
1640,5
1641,1
1642,55
1643,14
1644,0
1645,65
1646,0
1647,20
1648,0
1649,2
1650,2
1651,0
1652,46
1653,0
1654,0
1655,9
1656,15
1657,0
1658,4
1659,0
1660,0
1661,0
1662,0
1663,32
1664,1
1665,86
1666,0
1667,8
1668,0
1669,0
1670,0
1671,10
1672,15
1673,69
1674,10
1675,15
1676,0
1677,0
1678,19
1679,0
1680,3
1681,0
1682,48
1683,33
1684,28
1685,1
1686,0
1687,6
1688,0
1689,7
1690,16
1691,0
1692,2
1693,28
1694,0
1695,11
1696,0
1697,3
1698,11
1699,27
1700,0
1701,6
1702,0
1703,0
1704,24
1705,29
1706,15
1707,0
1708,0
1709,3
1710,96
1711,10
1712,0
1713,23
1714,24
1715,0
1716,0
1717,0
1718,9
1719,2
1720,0
1721,4
1722,19
1723,52
1724,22
1725,93
1726,3
1727,0
1728,1
1729,0
1730,1
1731,1
1732,40
1733,88
1734,5
1735,0
1736,0
1737,0
1738,6
1739,0
1740,15
1741,3
1742,0
1743,0
1744,1
1745,1
1746,0
1747,1
1748,27
1749,0
1750,0
1751,18
1752,7
1753,44
1754,2
1755,7
1756,3
1757,18
1758,0
1759,4
1760,3
1761,5
1762,8
1763,0
1764,9
1765,0
1766,3
1767,65
1768,1
1769,2
1770,0
1771,0
1772,0
1773,7
1774,8
1775,81
1776,54
1777,2
1778,55
1779,7
1780,0
1781,15
1782,8
1783,0
1784,1
1785,0
1786,1
1787,87
1788,19
1789,0
1790,1
1791,1
1792,1
1793,26
1794,0
1795,0
1796,40
1797,55
1798,7
1799,0
1800,26
1801,10
1802,0
1803,0
1804,6
1805,34
1806,2
1807,5
1808,0
1809,6
1810,31
1811,1
1812,0
1813,2
1814,68
1815,0
1816,0
1817,0
1818,49
1819,1
1820,2
1821,11
1822,2
1823,0
1824,3
1825,0
1826,86
1827,0
1828,78
1829,0
1830,33
1831,0
1832,27
1833,1
1834,0
1835,0
1836,8
1837,0
1838,5
1839,73
1840,49
1841,5
1842,0
1843,17
1844,18
1845,0
1846,37
1847,59
1848,2
1849,7
1850,83
1851,35
1852,98
1853,40
1854,6
1855,19
1856,0
1857,46
1858,0
1859,3
1860,20
1861,8
1862,10
1863,0
1864,11
1865,1
1866,0
1867,12
1868,0
1869,0
1870,2
1871,94
1872,5
1873,0
1874,2
1875,5
1876,22
1877,6
1878,0
1879,0
1880,1
1881,15
1882,0
1883,3
