time,id,ip,topic,attack
1860,88192834755155667035237963864649275649082954183574947218999456574029650421027,85.114.128.44,t1,0
3279,56359602860688603137113700651888479119773227978022020626620180964444218427561,223.65.202.110,t1,0
3824,114277258859603556510297626363559645931710858723276512971383766487037441870975,50.60.243.12,t1,0
4124,22677216096247778836728979338655133960620343567502660295225986539618485437814,62.182.81.214,t2,0
4840,41039802931764171854762974282819087272807661537391396922020850307020669104267,54.238.197.67,t1,0
5359,66884574491892911187832994411679762571690220619530151954430215160159003900669,86.122.49.78,t2,0
6891,103424084703346068188106894272652123274347574020677791967654308188866089976866,162.234.255.206,t5,0
7252,63438181789641984905514855783274102365310331030060527159694350247026023152114,185.247.118.38,t2,0
7899,13938417849253654017262839020205129181182286345618629519293065523830084943701,175.125.95.13,t1,0
8775,39782536508285231554046088751121755693340347175289116789283768040384341111108,15.237.149.54,t4,0
11162,215517416818124762527251900156808820178896666040276849459571787810854925616,139.198.190.246,t1200,0
11865,110971227581918879560809104427391110332695860824783612432401750665160304758035,94.16.110.54,t1,0
12196,74076887219560528235851302909280422935857633318658152857321998031001123111619,95.217.144.143,t1,0
13606,91809183640334179196531190244125372640838928684463980236325981873627193864575,185.142.32.142,t1,0
14569,104882688782498432218533418650005039383088672830216028918961030402778857147082,195.90.210.9,t2,0
14857,97471537874730741040416964453649246964300207451147386294150504684312730356383,144.121.220.80,t2,0
17262,94644995271083740433604662511230233645951218822480845678165043345022025316274,135.181.184.27,t1,0
21324,52261300426510638855097667552795966180350854571253930713670703107614168038502,185.203.56.37,t2,0
22986,40126254589494684930708842886078985971725004805797258757503634544821954948318,159.69.114.238,t1,0
25311,104470729356670084355065781201298855408432382354512435338762050701398298453975,124.236.25.51,t2,0
25682,9807433061651013044211612875175085592815414480945804526242988660222686006727,116.206.185.224,t1,0
26991,57784319703994620906256927298923513159605344576976409434134326946251519853190,49.12.78.165,t1,0
29282,33113218001601560350352281170992501518660278992476286161869274598594020505513,95.82.155.36,t1,0
30434,38154234287884242817840757281718083026306911021585933747305275048658849234561,46.109.18.157,t2,0
31073,49711080604684612783063646795782813851784455590204709657465496811801315837708,171.223.202.109,t1,0
31179,66413223242263436972866574914448296909787901593715044953174838636464389514085,178.254.157.142,t1,0
31748,50338216004596426452793049266686715965220252930080154726418710982065654950350,54.36.172.154,t1,0
32692,36409675292103327923952551603419707230711523127740504665726822107817506931373,18.163.103.220,t1,0
35134,69293183545802101560681658973975886511053469133837684202978087790512158661744,75.100.9.13,t1,0
38534,53025814984615180628000357445227552217781456263545359312223157566236290986491,34.207.153.195,t1,0
39182,114372137437363133119720496509537304750116549853731681293217685266305724389957,37.24.38.254,t1,0
41187,60623305913771982443706072104141955496293617179254350149725461904202992776402,24.212.145.177,t1,0
41488,62634207070798680593818495071159429539342594361074687673893799398694294784847,199.231.166.98,t1,0
43123,64320382494040078542836855151532311125565219185993248828124232493700192827954,159.69.69.206,t4,0
43919,38259860878032454858973653255294693780921311336106432985626477226279133899955,18.163.115.67,t1,0
43933,60243685132945032050989732852409605853107655756098955334731809285477942817932,47.242.44.46,t1,0
45205,9012905001052496520022344549634345125053669520605222453350620975051106488324,95.111.246.83,t1,0
45714,84781565851034232306879865179060797789000955281748699421572293246227619866760,135.181.117.35,t1,0
47456,86050141691825196795984206450275693558664351002298562479136588826639244699822,188.40.32.246,t1,0
48559,83785668676773715986586655725429489478212554996793222287946359995231052436560,161.97.135.97,t8,0
48560,76648799930398209271631483216841632308567949067382747553189674069139475920822,54.165.251.6,t3,0
49240,106884457573414513165284681834896412705818409390302682015202071172331296279739,108.48.26.5,t1,0
51262,107470266416050816655370078301799630990303723875437117407378745328187194261187,135.181.136.250,t1,0
51542,52894030318186997273435187501765577214006514416671065160382877058539852125667,62.36.30.20,t2,0
51935,58886415424428429499690289588598957529013628085173064756845177618781701203036,71.58.39.109,t1,0
53979,108633243422077054146534384393603148655711242011540535498902032259359576842190,136.144.249.178,t2,0
54191,105237491809168846598861145790992475218339973703782060627637835556154250839461,167.99.79.40,t1,0
55029,2585297641972916802558670204075276260468770702508607789045872534384795941407,40.91.195.155,t1,0
55302,38265449473051643553740814191512571996059646649821822281079654604096421431706,144.168.47.90,t4,0
58730,75005732829100055548764375188566597755786402346791678761641181678902234412681,23.101.235.27,t1,0
60355,73475118847910753145288515648619511052724489166978393442527800680495851893844,54.39.226.181,t1,0
60949,41838149151644740793388344119222341806112211915114243322167601186210089702309,54.90.144.1,t4,0
61033,67084346939713324988744742859419632118968326312613823771974149332406835766975,13.125.194.141,t2,0
61419,19528228835140913410092540248216949965658592120719881748396242646378958914350,54.74.141.234,t1,0
62128,53807045237451573294264929860010900905023633406448608724222300603745671061774,34.241.63.236,t1,0
64829,50405542336167337969389708037844452806450937075252901564472309845527044032059,86.109.65.84,t1,0
64944,98450730806221338630316374996614587520925761428010898593799511415141617997027,157.131.140.113,t1,0
65746,61127931322354131044961471587108568892086875430930221279996451797487981827477,178.154.225.248,t1,0
66972,69665803229024611126353058820832503603434909104942864442991625358139275204940,172.96.165.50,t2,0
67765,59200332924972657750714640640187474495803410357662567288940942481609462726477,157.90.89.114,t1,0
69449,6329113615918215411878212671429469152800165357675079555885113585723753487196,47.41.199.26,t1,0
70226,4443556017094005780648923315068362824672016809505321336258848063451336428063,135.181.137.34,t2,0
73546,81389049126680364307684227096917229079264051394445311698270513278922496773993,46.4.61.113,t4,0
